"enemy_id","card_id","static_card_required","static_ordinal","name","race_id","level","hp","atk","def","story_or_special","not_in_book","rarity_tier","rarity_label","guardian_power_tier","hp_multiplier","atk_multiplier","def_multiplier","guardian_sp_cost","native_tier_median_sp_cost","balance_note"
"28","10011","Y","11","撒旦","1","73","30000","600","166","Y","","contract","契約","sovereign","1.18","1.15","1.15","280","135","收妖稀有度為契約，護駕戰力為傳說首領；本卡召喚成本 280 SP，並套用 HP/ATK/DEF 小幅強化。"
"32","10012","Y","12","雨丹子","23","60","15000","580","116","Y","","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"33","10013","Y","13","張客","23","56","10000","550","130","Y","Y","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"38","10014","Y","14","鎮邪","14","58","10000","600","100","Y","Y","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"39","10015","Y","15","王思月","23","57","8000","560","122","Y","Y","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"40","10016","Y","16","悟緣","23","45","500","350","250","Y","Y","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"46","10017","Y","17","蚩尤","1","80","30000","850","200","Y","","contract","契約","sovereign","1.18","1.15","1.15","280","135","收妖稀有度為契約，護駕戰力為傳說首領；本卡召喚成本 280 SP，並套用 HP/ATK/DEF 小幅強化。"
"47","47","N","0","蟹精魔機","26","50","2500","530","180","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"48","10018","Y","18","機關三魔獸","13","38","6000","240","90","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"49","49","N","0","羯忍幻機","26","45","1800","500","162","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"50","10019","Y","19","影忍妖機","26","35","1000","50","40","Y","","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"51","10020","Y","20","羯羊妖機","13","52","15000","500","148","Y","","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"52","10021","Y","21","夜叉悟緣","8","50","8000","480","103","Y","Y","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"53","10022","Y","22","雨丹子五鬼","7","55","12000","510","148","Y","","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"57","10023","Y","23","機關和尚","13","44","620","310","155","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"59","10024","Y","24","牛魔王","1","80","30000","800","444","Y","","contract","契約","sovereign","1.18","1.15","1.15","280","135","收妖稀有度為契約，護駕戰力為傳說首領；本卡召喚成本 280 SP，並套用 HP/ATK/DEF 小幅強化。"
"60","10025","Y","25","冰魔薇達","1","34","1200","130","70","Y","","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"61","10026","Y","26","機關三魔獸","13","40","3000","290","60","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"62","10027","Y","27","藍魔神本體","1","37","3500","130","62","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"63","10028","Y","28","姆斯比爾","12","50","500","160","65","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"64","10029","Y","29","藍魔神","12","49","600","130","62","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"65","10030","Y","30","影忍妖機","13","35","300","216","100","","","rare","稀有","veteran","1.12","1.09","1.09","30","168","收妖稀有度為稀有，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"67","10031","Y","31","康那里士","23","42","2500","320","80","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"68","10032","Y","32","撒旦麥爾斯","23","50","4600","380","113","Y","Y","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"69","10033","Y","33","撒旦麥爾斯","23","50","3600","380","113","Y","Y","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"70","10034","Y","34","蜃樓王","12","50","4000","300","68","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"71","10035","Y","35","木鐵人","13","50","3500","360","133","Y","","contract","契約","elite","1.18","1.15","1.15","90","135","收妖稀有度為契約，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"72","10036","Y","36","康那里士","23","54","12500","540","80","Y","","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"73","10037","Y","37","撒旦麥爾斯","23","55","8600","500","113","Y","","contract","契約","boss","1.18","1.15","1.15","160","135","收妖稀有度為契約，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"74","10038","Y","38","撒旦","1","70","30000","999","999","Y","Y","contract","契約","sovereign","1.18","1.15","1.15","280","135","收妖稀有度為契約，護駕戰力為傳說首領；本卡召喚成本 280 SP，並套用 HP/ATK/DEF 小幅強化。"
"75","10039","Y","39","撒旦賽特","23","60","30000","750","166","Y","","contract","契約","sovereign","1.18","1.15","1.15","280","135","收妖稀有度為契約，護駕戰力為傳說首領；本卡召喚成本 280 SP，並套用 HP/ATK/DEF 小幅強化。"
"76","10040","Y","40","羯忍幻機","13","52","1800","500","162","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"93","10041","Y","41","慧彥","23","38","500","230","130","Y","Y","contract","契約","veteran","1.18","1.15","1.15","30","135","收妖稀有度為契約，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"101","101","N","0","黏怪","9","12","6","19","18","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"102","10042","Y","42","蛇","14","13","20","25","20","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"103","10043","Y","43","獅","14","25","160","123","90","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"104","10044","Y","44","虎","14","25","180","128","93","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"105","10045","Y","45","度度鳥","14","14","15","20","13","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"106","10046","Y","46","野猴","14","12","20","21","15","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"107","10047","Y","47","黑金剛","14","16","30","33","16","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"108","10048","Y","48","熊","14","17","35","35","18","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"109","10049","Y","49","吸血蝙蝠","14","8","10","20","15","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"110","10050","Y","50","毒蠍子","14","10","15","21","13","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"111","10051","Y","51","毒蜘蛛","14","6","15","22","17","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"112","10052","Y","52","隱翅蟲","14","9","12","19","10","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"113","10053","Y","53","巨蛾","14","8","15","23","13","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"114","10054","Y","54","毒蟾蜍","14","10","15","19","13","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"115","10055","Y","55","巨蛙","14","5","12","19","14","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"116","10056","Y","56","水蛇","14","9","20","23","12","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"117","10057","Y","57","狼","14","23","125","118","82","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"118","118","N","0","吸血殭屍","3","18","60","60","45","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"119","10058","Y","58","鷹","14","25","170","140","73","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"120","10059","Y","59","蜈蚣","14","13","35","42","28","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"121","10060","Y","60","黑蜈蚣","14","16","40","52","43","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"122","10061","Y","61","紅耳蝙蝠","14","15","45","57","48","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"123","10062","Y","62","北歐狼","14","18","60","77","45","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"124","124","N","0","炎靈子","2","44","630","380","80","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"125","125","N","0","吸血鬼王","3","26","100","87","40","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"126","126","N","0","邪靈","7","25","30","83","85","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"127","127","N","0","石骨魚","5","16","30","45","30","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"128","128","N","0","石骨飛魚","5","20","50","58","43","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"129","129","N","0","阿加希歐","9","27","200","147","64","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"130","130","N","0","獢","5","24","120","80","43","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"131","131","N","0","吸血鬼","3","22","43","52","32","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"132","132","N","0","侏儒","6","15","18","31","25","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"133","133","N","0","亞格瑞斯","1","26","125","100","56","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"134","134","N","0","半人馬","8","26","110","90","53","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"135","135","N","0","美杜莎","8","24","100","80","57","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"136","136","N","0","格萊艾","9","24","150","80","38","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"137","137","N","0","凱貝羅斯","5","28","130","90","46","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"138","138","N","0","寒蛙","5","24","140","111","65","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"139","139","N","0","瓶女","9","28","180","102","55","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"140","140","N","0","妖貓","3","23","90","93","42","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"141","141","N","0","牛頭魚","5","27","160","113","58","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"142","142","N","0","雪球怪","9","22","100","116","89","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"143","143","N","0","溫蒂妮","6","27","155","110","60","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"144","144","N","0","竹妖","8","40","420","320","103","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"145","145","N","0","魍魎","8","44","450","360","120","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"146","146","N","0","妖陀螺鬼","9","42","500","400","130","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"147","147","N","0","水仙","6","39","330","310","90","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"148","148","N","0","七仙女","2","47","1600","490","100","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"149","149","N","0","九天玄女","0","58","2200","500","96","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"150","150","N","0","嫦娥","2","49","1500","510","155","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"151","151","N","0","瓊霜","6","36","500","245","100","","","rare","稀有","veteran","1.12","1.09","1.09","30","168","收妖稀有度為稀有，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"152","152","N","0","瑪特女神","0","45","680","400","150","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"153","153","N","0","瓦雀","0","31","200","137","90","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"154","154","N","0","上元夫人","0","42","600","360","110","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"155","155","N","0","蠶女","6","41","800","475","156","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"156","156","N","0","女夷","6","43","1430","460","98","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"157","157","N","0","女夷22","10","43","1430","460","98","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"158","158","N","0","娥皇","0","50","1700","503","108","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"159","159","N","0","女英","0","46","1650","495","115","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"160","160","N","0","席娜","1","34","350","200","75","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"161","161","N","0","亞坦","1","34","220","150","93","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"162","162","N","0","蝠妖","8","28","160","140","70","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"163","163","N","0","朱蛤獸","5","33","180","157","79","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"164","164","N","0","神燈巨人","9","30","300","170","88","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"165","165","N","0","色烈芬","2","52","2000","580","122","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"166","166","N","0","藍人","9","26","120","110","72","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"167","167","N","0","戰死屍鬼","3","43","1300","420","134","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"168","10063","Y","63","鱷魚","14","38","350","235","110","","","rare","稀有","veteran","1.12","1.09","1.09","30","168","收妖稀有度為稀有，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"169","10064","Y","64","大鬣蜥","14","42","350","385","150","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"170","170","N","0","殭屍","3","14","16","24","18","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"171","171","N","0","幽靈","7","13","18","30","12","","","common","常見","common","1.08","1.05","1.05","10","11","收妖稀有度為常見，護駕戰力為初階；本卡召喚成本 10 SP，並套用 HP/ATK/DEF 小幅強化。"
"172","172","N","0","阿普洛迪","0","52","2000","570","166","","","elite","菁英","boss","1.15","1.12","1.12","160","290","收妖稀有度為菁英，護駕戰力為首領；本卡召喚成本 160 SP，並套用 HP/ATK/DEF 小幅強化。"
"173","173","N","0","阿拔東","1","42","480","300","88","","","rare","稀有","elite","1.12","1.09","1.09","90","168","收妖稀有度為稀有，護駕戰力為菁英；本卡召喚成本 90 SP，並套用 HP/ATK/DEF 小幅強化。"
"174","174","N","0","阿高司","4","32","350","150","73","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"175","175","N","0","炎顱","5","36","180","133","65","","","rare","稀有","veteran","1.12","1.09","1.09","30","168","收妖稀有度為稀有，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"176","10065","Y","65","黑豹","14","24","150","122","86","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
"177","177","N","0","火蠑螈","5","27","170","140","74","","","uncommon","少見","veteran","1.1","1.07","1.07","30","33","收妖稀有度為少見，護駕戰力為熟練；本卡召喚成本 30 SP，並套用 HP/ATK/DEF 小幅強化。"
