action_row,enemy_id,enemy_name,action_type,source_id,action_name,effect_id,attack_point,attribute_id,wide_range,add_hp,add_mp,add_sp,calculation,snatch_hp,snatch_mp,snatch_sp,affixation_effect,relieve_effect,add_buff,continuous_turns,initial_usage_count,ai_rate,risk_tags,targeting,limitation
23,28,撒旦,普通攻擊,,基本攻擊效果,463,0,9,,,,,,,,,64,0,0,3,,動態：連續普通攻擊越多，權重越低，最低 2。,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
24,28,撒旦,技能,1711,百鬼碎裂,418,1200,4,Y,,,,,,,,0,0,0,0,6,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
25,28,撒旦,技能,1712,百闇川聚,419,3000,7,Y,,,,,,,,0,0,0,0,6,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
26,28,撒旦,技能,1713,拂塵燎原,420,2000,8,Y,,,,,,,,0,0,0,0,6,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
27,28,撒旦,特殊攻擊,416,特殊攻擊效果 416,416,4000,1,,,,,,,,,16,0,0,5,8,6,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
28,28,撒旦,特殊攻擊,417,特殊攻擊效果 417,417,2200,3,,,,,,,,,512,0,0,8,10,6,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
29,28,撒旦,治療／危急技能,1,技能 1,,,,,,,,,,,,,,,,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,missing_skill_definition|missing_effect_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
30,378,鬥戰聖佛,普通攻擊,,基本攻擊效果,122,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
31,378,鬥戰聖佛,技能,1705,神焰九轉,389,600,1,Y,,,,,,,,0,0,0,0,8,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
32,378,鬥戰聖佛,技能,1704,草木皆兵,388,0,6,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
33,378,鬥戰聖佛,技能,1705,神焰九轉,389,600,1,Y,,,,,,,,0,0,0,0,8,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
34,32,雨丹子,普通攻擊,,基本攻擊效果,346,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
35,32,雨丹子,技能,1696,百毒魔爪,347,200,5,Y,,,,,,,,4096,0,0,6,8,5,area_effect|status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
36,32,雨丹子,技能,1696,百毒魔爪,347,200,5,Y,,,,,,,,4096,0,0,6,6,5,area_effect|status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
37,32,雨丹子,特殊攻擊,356,特殊攻擊效果 356,356,0,7,,,,,,,,,0,0,0,0,3,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
38,32,雨丹子,特殊攻擊,356,特殊攻擊效果 356,356,0,7,,,,,,,,,0,0,0,0,2,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
39,32,雨丹子,治療／危急技能,1697,萬妖聚靈,357,0,7,,2000,,,,,,,0,0,0,0,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
40,32,雨丹子,治療／危急技能,1697,萬妖聚靈,357,0,7,,2000,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
41,51,羯羊妖機,普通攻擊,,基本攻擊效果,131,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
42,51,羯羊妖機,技能,1693,三昧陰火劫,338,480,7,Y,,,,,,,,0,0,0,0,7,6,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
43,51,羯羊妖機,技能,1693,三昧陰火劫,338,480,7,Y,,,,,,,,0,0,0,0,4,6,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
44,51,羯羊妖機,特殊攻擊,3,特殊攻擊效果 3,3,0,9,,,,,,,,,0,0,0,0,10,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
45,72,康那里士,普通攻擊,,基本攻擊效果,257,10,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
46,72,康那里士,技能,1693,三昧陰火劫,338,480,7,Y,,,,,,,,0,0,0,0,4,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
47,72,康那里士,技能,1684,靈魔幻音,199,300,7,Y,,,,,,,,0,0,0,0,3,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
48,72,康那里士,技能,1552,食魂咒,59,0,7,,,,,,,,,64,0,0,5,3,5,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
49,72,康那里士,治療／危急技能,1697,萬妖聚靈,357,0,7,,2000,,,,,,,0,0,0,0,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
50,72,康那里士,治療／危急技能,1683,魔氣縱橫,198,0,7,,300,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
51,53,雨丹子五鬼,普通攻擊,,基本攻擊效果,346,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
52,53,雨丹子五鬼,技能,1696,百毒魔爪,347,200,5,Y,,,,,,,,4096,0,0,6,4,5,area_effect|status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
53,53,雨丹子五鬼,技能,1696,百毒魔爪,347,200,5,Y,,,,,,,,4096,0,0,6,4,5,area_effect|status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
54,53,雨丹子五鬼,技能,1696,百毒魔爪,347,200,5,Y,,,,,,,,4096,0,0,6,4,5,area_effect|status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
55,53,雨丹子五鬼,特殊攻擊,3,特殊攻擊效果 3,3,0,9,,,,,,,,,0,0,0,0,4,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
56,38,鎮邪,普通攻擊,,基本攻擊效果,1,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
57,33,張客,普通攻擊,,基本攻擊效果,379,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
58,2202,NAME1032,普通攻擊,,基本攻擊效果,412,0,9,,,,,,,,,512,0,0,8,,動態：連續普通攻擊越多，權重越低，最低 2。,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
59,438,蔡魔王,普通攻擊,,基本攻擊效果,1,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
60,438,蔡魔王,技能,1676,幻光聖劍,121,120,6,,,,,,,,,0,0,0,0,2,1,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
61,438,蔡魔王,技能,1668,六芒星斬,73,80,7,Y,,,,,,,,0,0,0,0,2,1,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
62,438,蔡魔王,特殊攻擊,1,特殊攻擊效果 1,1,0,9,,,,,,,,,0,0,0,0,5,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
63,2203,山鬼,普通攻擊,,基本攻擊效果,3,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
64,2203,山鬼,特殊攻擊,2,特殊攻擊效果 2,2,0,9,,,,,,,,,0,0,0,0,99,10,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
65,73,撒旦麥爾斯,普通攻擊,,基本攻擊效果,1,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
66,73,撒旦麥爾斯,技能,1688,魔氣貫頂,265,320,7,Y,,,,,,,,0,0,0,0,2,6,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
67,73,撒旦麥爾斯,技能,1688,魔氣貫頂,265,320,7,Y,,,,,,,,0,0,0,0,3,6,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
68,73,撒旦麥爾斯,特殊攻擊,390,特殊攻擊效果 390,390,530,9,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
69,73,撒旦麥爾斯,特殊攻擊,391,特殊攻擊效果 391,391,400,9,,,,,,,,,0,0,0,0,2,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
70,73,撒旦麥爾斯,治療／危急技能,1683,魔氣縱橫,198,0,7,,300,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
71,73,撒旦麥爾斯,治療／危急技能,1697,萬妖聚靈,357,0,7,,2000,,,,,,,0,0,0,0,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
72,379,鬥戰聖佛分身,普通攻擊,,基本攻擊效果,122,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
73,39,王思月,普通攻擊,,基本攻擊效果,354,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
74,39,王思月,特殊攻擊,355,特殊攻擊效果 355,355,500,8,Y,,,,,,,,0,0,0,0,6,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
75,39,王思月,特殊攻擊,355,特殊攻擊效果 355,355,500,8,Y,,,,,,,,0,0,0,0,6,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
76,52,夜叉悟緣,普通攻擊,,基本攻擊效果,258,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
77,52,夜叉悟緣,特殊攻擊,336,特殊攻擊效果 336,336,430,9,,,,,,,,,0,0,0,0,6,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
78,52,夜叉悟緣,特殊攻擊,337,特殊攻擊效果 337,337,400,7,,,,,,Y,,,0,0,0,0,6,5,HP_drain,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
79,48,機關三魔獸,技能,1681,紅嵐滔光,182,350,1,Y,,,,,,,,0,0,0,0,3,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
80,48,機關三魔獸,技能,1681,紅嵐滔光,182,350,1,Y,,,,,,,,0,0,0,0,2,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
81,48,機關三魔獸,技能,1681,紅嵐滔光,182,350,1,Y,,,,,,,,0,0,0,0,2,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
82,48,機關三魔獸,特殊攻擊,180,特殊攻擊效果 180,180,520,9,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
83,48,機關三魔獸,特殊攻擊,180,特殊攻擊效果 180,180,520,9,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
84,381,黃八,普通攻擊,,基本攻擊效果,313,0,7,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
85,381,黃八,技能,1,技能 1,,,,,,,,,,,,,,,,5,6,missing_skill_definition|missing_effect_definition,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
86,381,黃八,特殊攻擊,325,特殊攻擊效果 325,325,0,7,,,,,,,,,32,0,0,8,3,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
87,381,黃八,特殊攻擊,325,特殊攻擊效果 325,325,0,7,,,,,,,,,32,0,0,8,3,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
88,16,蜃樓王,普通攻擊,,基本攻擊效果,204,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
89,16,蜃樓王,技能,1685,雷霆光鏵,207,350,8,Y,,,,,,,,0,0,0,0,6,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
90,16,蜃樓王,技能,1686,封靈滅法,208,0,10,,,,,,,,,16,0,0,8,3,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
91,16,蜃樓王,技能,1686,封靈滅法,208,0,10,,,,,,,,,16,0,0,8,2,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
92,16,蜃樓王,特殊攻擊,205,特殊攻擊效果 205,205,350,9,,,,,,,,,0,0,0,0,4,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
93,16,蜃樓王,特殊攻擊,205,特殊攻擊效果 205,205,350,9,,,,,,,,,0,0,0,0,3,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
94,16,蜃樓王,治療／危急技能,1578,神癒咒,14,0,0,,500,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
95,16,蜃樓王,治療／危急技能,1578,神癒咒,14,0,0,,500,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
96,12,恐懼之王,普通攻擊,,基本攻擊效果,159,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
97,12,恐懼之王,技能,1680,懾心靈震,161,300,7,Y,,,,,,,,0,0,0,0,2,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
98,12,恐懼之王,技能,1680,懾心靈震,161,300,7,Y,,,,,,,,0,0,0,0,2,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
99,12,恐懼之王,技能,1680,懾心靈震,161,300,7,Y,,,,,,,,0,0,0,0,1,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
100,12,恐懼之王,特殊攻擊,1,特殊攻擊效果 1,1,0,9,,,,,,,,,0,0,0,0,5,5,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
101,68,撒旦麥爾斯,普通攻擊,,基本攻擊效果,1,0,9,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
102,68,撒旦麥爾斯,技能,1688,魔氣貫頂,265,320,7,Y,,,,,,,,0,0,0,0,2,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
103,68,撒旦麥爾斯,技能,1688,魔氣貫頂,265,320,7,Y,,,,,,,,0,0,0,0,3,5,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
104,68,撒旦麥爾斯,特殊攻擊,262,特殊攻擊效果 262,262,430,9,,,,,,,,,0,0,0,0,3,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
105,68,撒旦麥爾斯,特殊攻擊,263,特殊攻擊效果 263,263,300,9,,,,,,,,,0,0,0,0,2,4,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
106,68,撒旦麥爾斯,治療／危急技能,1683,魔氣縱橫,198,0,7,,300,,,,,,,0,0,0,0,2,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
107,68,撒旦麥爾斯,治療／危急技能,1683,魔氣縱橫,198,0,7,,300,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
108,70,蜃樓王,普通攻擊,,基本攻擊效果,276,500,8,,,,,,,,,0,0,0,0,,動態：連續普通攻擊越多，權重越低，最低 2。,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
109,70,蜃樓王,技能,1685,雷霆光鏵,207,350,8,Y,,,,,,,,0,0,0,0,5,4,area_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
110,70,蜃樓王,技能,1686,封靈滅法,208,0,10,,,,,,,,,16,0,0,8,3,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
111,70,蜃樓王,技能,1686,封靈滅法,208,0,10,,,,,,,,,16,0,0,8,1,4,status_effect,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
112,70,蜃樓王,特殊攻擊,205,特殊攻擊效果 205,205,350,9,,,,,,,,,0,0,0,0,3,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
113,70,蜃樓王,特殊攻擊,205,特殊攻擊效果 205,205,350,9,,,,,,,,,0,0,0,0,2,3,,player target or initialization self flag; runtime target set not proven,"definition only; damage/heal totals, successful targets and timings need runtime verification"
114,70,蜃樓王,治療／危急技能,1578,神癒咒,14,0,0,,500,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
115,70,蜃樓王,治療／危急技能,1578,神癒咒,14,0,0,,500,,,,,,,0,0,0,0,1,依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。,HP_recovery_definition,lowest absolute current HP living enemy; effect range may expand,"definition only; damage/heal totals, successful targets and timings need runtime verification"
