pool,item_id,name,availability_note,source_id,sp_cost,add_hp,add_mp,add_sp,add_str,add_stamina,add_wis,add_spd,add_atk,add_def,hp,atk,def,spd,wis
static_mod,10006,慧彥・契靈,requires static capture MOD; runtime summoning still case-dependent,10,30,45,52,26,6,2,21,2,8,21,590,265,150,51,180
static_mod,10007,恐懼之王・契靈,requires static capture MOD; runtime summoning still case-dependent,12,90,96,69,41,7,4,25,3,9,24,5900,187,84,54,120
static_mod,10008,藍魔神・契靈,requires static capture MOD; runtime summoning still case-dependent,13,90,102,58,76,4,4,23,8,6,24,2360,138,69,46,120
static_mod,10009,蜃樓王・契靈,requires static capture MOD; runtime summoning still case-dependent,16,90,108,52,41,10,4,23,3,14,24,5900,345,78,56,130
static_mod,10010,鬼猴・契靈,requires static capture MOD; runtime summoning still case-dependent,18,90,133,46,41,13,7,23,3,17,24,4130,177,74,50,120
static_mod,10011,撒旦・契靈,requires static capture MOD; runtime summoning still case-dependent,28,280,296,158,117,26,16,32,9,37,34,35400,690,191,140,200
static_mod,10012,雨丹子・契靈,requires static capture MOD; runtime summoning still case-dependent,32,160,181,91,75,14,7,25,5,21,23,17700,667,133,64,180
static_mod,10013,張客・契靈,requires static capture MOD; runtime summoning still case-dependent,33,160,193,93,75,12,8,26,5,18,24,11800,633,150,60,200
static_mod,10014,鎮邪・契靈,requires static capture MOD; runtime summoning still case-dependent,38,160,193,79,75,15,7,25,5,23,23,11800,690,115,80,180
static_mod,10015,王思月・契靈,requires static capture MOD; runtime summoning still case-dependent,39,160,192,73,75,12,8,25,5,18,26,9440,644,140,62,130
static_mod,10016,悟緣・契靈,requires static capture MOD; runtime summoning still case-dependent,40,90,93,62,53,8,7,22,3,11,17,590,402,288,58,33
static_mod,10017,蚩尤・契靈,requires static capture MOD; runtime summoning still case-dependent,46,280,302,130,115,26,15,28,8,38,26,35400,977,230,90,180
static_mod,10018,機關三魔獸・契靈,requires static capture MOD; runtime summoning still case-dependent,48,90,105,50,53,7,6,22,3,9,15,7080,276,103,48,10
static_mod,10019,影忍妖機・契靈,requires static capture MOD; runtime summoning still case-dependent,50,30,73,26,66,4,5,20,7,6,13,1180,57,46,30,22
static_mod,10020,羯羊妖機・契靈,requires static capture MOD; runtime summoning still case-dependent,51,160,199,65,81,14,7,24,5,21,17,17700,575,170,65,50
static_mod,10021,夜叉悟緣・契靈,requires static capture MOD; runtime summoning still case-dependent,52,160,165,97,92,12,6,25,7,18,11,9440,552,118,62,120
static_mod,10022,雨丹子五鬼・契靈,requires static capture MOD; runtime summoning still case-dependent,53,160,181,104,87,12,7,28,5,18,11,14160,587,170,60,200
static_mod,10023,機關和尚・契靈,requires static capture MOD; runtime summoning still case-dependent,57,90,116,50,59,11,7,22,4,16,10,694,338,169,54,80
static_mod,10024,牛魔王・契靈,requires static capture MOD; runtime summoning still case-dependent,59,280,320,134,137,27,18,30,10,37,21,35400,920,511,180,300
static_mod,10025,冰魔薇達・契靈,requires static capture MOD; runtime summoning still case-dependent,60,30,69,30,72,4,2,23,6,6,6,1416,150,81,45,78
static_mod,10026,機關三魔獸・契靈,requires static capture MOD; runtime summoning still case-dependent,61,90,90,62,35,15,4,16,3,12,30,3540,334,69,58,10
static_mod,10027,藍魔神本體・契靈,requires static capture MOD; runtime summoning still case-dependent,62,90,96,64,70,10,4,17,8,6,30,4130,150,71,48,120
static_mod,10028,姆斯比爾・契靈,requires static capture MOD; runtime summoning still case-dependent,63,90,102,50,35,15,4,16,3,12,30,590,184,75,45,90
static_mod,10029,藍魔神・契靈,requires static capture MOD; runtime summoning still case-dependent,64,90,111,52,35,15,4,17,3,12,30,708,150,71,43,120
static_mod,10030,影忍妖機・契靈,requires static capture MOD; runtime summoning still case-dependent,65,30,69,20,20,12,2,14,2,8,27,336,235,109,50,22
static_mod,10031,康那里士・契靈,requires static capture MOD; runtime summoning still case-dependent,67,90,96,70,41,14,5,17,3,11,25,2950,368,92,48,100
static_mod,10032,撒旦麥爾斯・契靈,requires static capture MOD; runtime summoning still case-dependent,68,90,108,72,41,16,4,18,3,14,24,5428,437,130,48,200
static_mod,10033,撒旦麥爾斯・契靈,requires static capture MOD; runtime summoning still case-dependent,69,90,102,71,41,14,4,20,3,11,24,4248,437,130,45,200
static_mod,10034,蜃樓王・契靈,requires static capture MOD; runtime summoning still case-dependent,70,90,108,52,41,16,4,17,3,14,24,4720,345,78,43,130
static_mod,10035,木鐵人・契靈,requires static capture MOD; runtime summoning still case-dependent,71,90,117,38,41,14,6,16,3,11,27,4130,414,153,58,0
static_mod,10036,康那里士・契靈,requires static capture MOD; runtime summoning still case-dependent,72,160,175,97,75,20,7,19,5,21,23,14750,621,92,62,150
static_mod,10037,撒旦麥爾斯・契靈,requires static capture MOD; runtime summoning still case-dependent,73,160,177,99,67,18,7,20,4,18,24,10148,575,130,58,200
static_mod,10038,撒旦・契靈,requires static capture MOD; runtime summoning still case-dependent,74,280,312,142,105,32,19,26,7,40,40,35400,1149,1149,70,200
static_mod,10039,撒旦賽特・契靈,requires static capture MOD; runtime summoning still case-dependent,75,280,318,144,105,26,16,29,7,30,33,35400,862,191,92,200
static_mod,10040,羯忍幻機・契靈,requires static capture MOD; runtime summoning still case-dependent,76,160,189,73,67,20,6,19,4,21,23,2070,560,181,58,100
static_mod,10041,慧彥・契靈,requires static capture MOD; runtime summoning still case-dependent,93,30,55,66,38,12,5,19,2,7,12,590,265,150,51,180
static_mod,10042,蛇・契靈,requires static capture MOD; runtime summoning still case-dependent,102,10,26,28,43,7,1,13,4,1,7,22,26,21,20,20
static_mod,10043,獅・契靈,requires static capture MOD; runtime summoning still case-dependent,103,30,57,32,63,8,2,14,6,3,9,176,132,96,45,50
static_mod,10044,虎・契靈,requires static capture MOD; runtime summoning still case-dependent,104,30,73,26,38,15,2,14,4,13,9,198,137,100,42,60
static_mod,10045,度度鳥・契靈,requires static capture MOD; runtime summoning still case-dependent,105,10,44,10,43,7,1,13,4,1,7,16,21,14,21,12
static_mod,10046,野猴・契靈,requires static capture MOD; runtime summoning still case-dependent,106,10,20,34,49,7,1,13,4,1,1,22,22,16,22,10
static_mod,10047,黑金剛・契靈,requires static capture MOD; runtime summoning still case-dependent,107,10,45,32,54,10,4,13,7,4,1,32,35,17,18,20
static_mod,10048,熊・契靈,requires static capture MOD; runtime summoning still case-dependent,108,10,32,22,49,7,1,13,4,1,1,38,37,19,20,13
static_mod,10049,吸血蝙蝠・契靈,requires static capture MOD; runtime summoning still case-dependent,109,10,38,16,49,7,1,13,4,1,1,11,21,16,20,10
static_mod,10050,毒蠍子・契靈,requires static capture MOD; runtime summoning still case-dependent,110,10,44,10,49,7,1,13,4,1,1,16,22,14,20,14
static_mod,10051,毒蜘蛛・契靈,requires static capture MOD; runtime summoning still case-dependent,111,10,20,34,25,13,1,7,4,1,25,16,23,18,21,10
static_mod,10052,隱翅蟲・契靈,requires static capture MOD; runtime summoning still case-dependent,112,10,26,28,25,13,1,7,4,1,25,13,20,11,22,10
static_mod,10053,巨蛾・契靈,requires static capture MOD; runtime summoning still case-dependent,113,10,32,22,25,13,1,7,4,1,25,16,24,14,23,10
static_mod,10054,毒蟾蜍・契靈,requires static capture MOD; runtime summoning still case-dependent,114,10,38,16,25,13,1,7,4,1,25,16,20,14,16,15
static_mod,10055,巨蛙・契靈,requires static capture MOD; runtime summoning still case-dependent,115,10,44,10,25,13,1,7,4,1,25,13,20,15,24,10
static_mod,10056,水蛇・契靈,requires static capture MOD; runtime summoning still case-dependent,116,10,20,34,31,13,1,7,4,1,19,22,24,13,22,10
static_mod,10057,狼・契靈,requires static capture MOD; runtime summoning still case-dependent,117,30,51,38,51,14,2,8,6,3,21,138,126,88,41,20
static_mod,10058,鷹・契靈,requires static capture MOD; runtime summoning still case-dependent,119,30,57,40,34,18,2,10,8,9,21,187,150,78,42,48
static_mod,10059,蜈蚣・契靈,requires static capture MOD; runtime summoning still case-dependent,120,10,38,16,31,13,1,7,4,1,19,38,44,29,30,15
static_mod,10060,黑蜈蚣・契靈,requires static capture MOD; runtime summoning still case-dependent,121,10,44,10,46,16,1,7,7,6,19,43,55,45,36,15
static_mod,10061,紅耳蝙蝠・契靈,requires static capture MOD; runtime summoning still case-dependent,122,10,20,42,44,14,2,9,9,4,13,49,60,50,43,40
static_mod,10062,北歐狼・契靈,requires static capture MOD; runtime summoning still case-dependent,123,10,26,28,37,13,1,7,4,1,13,65,81,47,38,35
static_mod,10063,鱷魚・契靈,requires static capture MOD; runtime summoning still case-dependent,168,30,63,36,36,22,2,8,5,12,15,392,256,120,38,70
static_mod,10064,大鬣蜥・契靈,requires static capture MOD; runtime summoning still case-dependent,169,90,114,44,55,24,4,10,7,17,18,392,420,164,43,10
static_mod,10065,黑豹・契靈,requires static capture MOD; runtime summoning still case-dependent,176,30,69,20,57,14,2,8,6,3,15,165,131,92,47,60
static_mod,10066,格特輪・契靈,requires static capture MOD; runtime summoning still case-dependent,180,90,90,70,53,21,4,11,3,12,12,2714,322,115,48,100
static_mod,10067,鬥戰聖佛・契靈,requires static capture MOD; runtime summoning still case-dependent,378,280,276,126,131,36,11,16,14,37,23,23600,725,184,66,170
static_mod,10068,鬥戰聖佛分身・契靈,requires static capture MOD; runtime summoning still case-dependent,379,160,177,89,97,32,6,13,11,28,17,9440,667,161,60,160
static_mod,10069,教眾長老・契靈,requires static capture MOD; runtime summoning still case-dependent,380,90,108,52,53,22,4,11,3,14,12,1344,414,161,58,180
static_mod,10070,黃八・契靈,requires static capture MOD; runtime summoning still case-dependent,381,90,114,46,53,22,4,11,3,14,12,6844,414,182,55,180
static_mod,10071,人屍・契靈,requires static capture MOD; runtime summoning still case-dependent,382,160,165,97,87,26,6,13,5,21,11,3540,600,182,60,180
static_mod,10072,蜃樓石頭妖・契靈,requires static capture MOD; runtime summoning still case-dependent,383,90,96,72,69,24,4,13,6,15,6,4130,402,173,40,40
static_mod,10073,蜃樓財寶怪・契靈,requires static capture MOD; runtime summoning still case-dependent,384,90,102,55,59,19,4,12,3,9,6,2950,322,115,44,40
static_mod,10074,響尾蛇・契靈,requires static capture MOD; runtime summoning still case-dependent,385,30,63,26,69,14,2,8,6,3,3,159,132,74,48,20
static_mod,10075,大棕熊・契靈,requires static capture MOD; runtime summoning still case-dependent,386,30,69,20,69,14,2,8,6,3,3,182,135,98,43,13
static_mod,10076,銀背金剛・契靈,requires static capture MOD; runtime summoning still case-dependent,387,30,60,48,24,29,5,2,3,12,27,154,135,86,40,20
static_mod,10077,紅鬃猿・契靈,requires static capture MOD; runtime summoning still case-dependent,388,30,51,38,45,20,2,2,6,3,27,116,120,86,45,10
static_mod,10078,奧斯曼・契靈,requires static capture MOD; runtime summoning still case-dependent,389,30,57,40,20,24,2,3,2,8,27,472,184,98,47,100
static_mod,10079,沙漠綠蠍・契靈,requires static capture MOD; runtime summoning still case-dependent,393,30,67,26,32,26,2,2,5,12,27,220,128,73,38,40
static_mod,10080,地獄妖貓・契靈,requires static capture MOD; runtime summoning still case-dependent,394,30,73,39,55,20,2,6,9,3,28,177,159,103,53,90
static_mod,10081,高地骷髏妖・契靈,requires static capture MOD; runtime summoning still case-dependent,395,30,45,59,73,20,2,6,9,4,22,826,146,98,60,70
static_mod,10082,弒肉妖・契靈,requires static capture MOD; runtime summoning still case-dependent,396,30,51,38,51,20,2,2,6,3,21,566,86,71,42,50
static_mod,10083,赤尾蠍子・契靈,requires static capture MOD; runtime summoning still case-dependent,397,10,32,22,31,19,1,1,4,1,19,43,53,45,28,14
static_mod,10084,加賽因・契靈,requires static capture MOD; runtime summoning still case-dependent,398,30,63,26,51,20,2,2,6,3,21,118,55,29,28,43
static_mod,10085,修道院院長・契靈,requires static capture MOD; runtime summoning still case-dependent,399,30,69,34,60,20,3,6,8,4,24,159,61,55,30,50
static_mod,10086,梅羅文加軍人・契靈,requires static capture MOD; runtime summoning still case-dependent,400,10,32,38,42,19,4,1,7,2,17,16,16,13,17,10
static_mod,10087,死靈騎士・契靈,requires static capture MOD; runtime summoning still case-dependent,403,160,181,106,80,32,8,11,5,20,24,3540,610,184,62,120
static_mod,10088,教士・契靈,requires static capture MOD; runtime summoning still case-dependent,407,10,32,36,44,20,3,5,5,3,16,26,32,21,29,30
static_mod,10089,武僧・契靈,requires static capture MOD; runtime summoning still case-dependent,408,10,38,30,40,21,2,5,4,4,16,41,37,24,25,20
static_mod,10090,梅羅文加軍人・契靈,requires static capture MOD; runtime summoning still case-dependent,409,10,52,10,44,20,5,1,5,4,17,30,36,24,32,20
static_mod,10091,威尼斯水軍・契靈,requires static capture MOD; runtime summoning still case-dependent,410,10,28,34,46,21,4,1,4,5,11,86,74,61,48,35
static_mod,10092,黑衣大食兵・契靈,requires static capture MOD; runtime summoning still case-dependent,411,30,59,42,42,26,5,2,3,10,13,246,240,71,43,95
static_mod,10093,白衣大食兵・契靈,requires static capture MOD; runtime summoning still case-dependent,412,30,65,32,46,24,5,2,4,9,13,242,214,64,45,95
static_mod,10094,唐軍步卒・契靈,requires static capture MOD; runtime summoning still case-dependent,416,30,81,34,38,24,7,3,2,8,13,275,218,68,45,100
static_mod,10095,道士・契靈,requires static capture MOD; runtime summoning still case-dependent,433,90,114,46,53,28,4,5,3,14,12,802,414,182,55,180
static_mod,10097,NAME1032・契靈,requires static capture MOD; runtime summoning still case-dependent,2202,160,181,83,87,32,7,6,5,21,11,11800,633,76,72,80
