role,slot,metric,rank,item_id,name,value,proficient_point,proficient_hard,special,acquisition
1,chest,add_def,3,867,蒼蟒錦衣,100,,,,candidate; availability and shared inventory not solved
1,chest,add_spd,1,858,紫堂殼,5,,,,candidate; availability and shared inventory not solved
1,chest,add_spd,2,1011,護心鏡,4,,,,candidate; availability and shared inventory not solved
1,chest,add_spd,3,867,蒼蟒錦衣,3,,,,candidate; availability and shared inventory not solved
1,chest,add_hp,1,857,癒傷之鎧,5,,,,candidate; availability and shared inventory not solved
1,chest,add_hp,2,1018,毛獸大衣,3,,,,candidate; availability and shared inventory not solved
1,chest,add_mp,1,859,啻浪奇甲,2,,,,candidate; availability and shared inventory not solved
1,hand,add_atk,1,1052,修羅膀腕,12,,,,candidate; availability and shared inventory not solved
1,hand,add_atk,2,879,地痞手套,10,,,,candidate; availability and shared inventory not solved
1,hand,add_atk,3,889,子雷手套,10,,,,candidate; availability and shared inventory not solved
1,hand,add_def,1,887,藍堂光套,53,,,,candidate; availability and shared inventory not solved
1,hand,add_def,2,889,子雷手套,48,,,,candidate; availability and shared inventory not solved
1,hand,add_def,3,884,靈蛇手套,40,,,,candidate; availability and shared inventory not solved
1,hand,add_spd,1,879,地痞手套,8,,,,candidate; availability and shared inventory not solved
1,hand,add_spd,2,881,青電臂,6,,,,candidate; availability and shared inventory not solved
1,hand,add_spd,3,1052,修羅膀腕,3,,,,candidate; availability and shared inventory not solved
1,hand,add_hp,1,1048,加卡達鐲,100,,,,candidate; availability and shared inventory not solved
1,hand,add_hp,2,878,掃羅手套,10,,,,candidate; availability and shared inventory not solved
1,foot,add_atk,1,910,歌神之靴,5,,,,candidate; availability and shared inventory not solved
1,foot,add_atk,2,913,虎爪鞋,3,,,,candidate; availability and shared inventory not solved
1,foot,add_atk,3,919,鈦銧奇鞋,3,,,,candidate; availability and shared inventory not solved
1,foot,add_def,1,912,神駝靴,20,,,,candidate; availability and shared inventory not solved
1,foot,add_def,2,919,鈦銧奇鞋,20,,,,candidate; availability and shared inventory not solved
1,foot,add_def,3,1038,綑鍊鞋,18,,,,candidate; availability and shared inventory not solved
1,foot,add_spd,1,916,踏風草鞋,16,,,,candidate; availability and shared inventory not solved
1,foot,add_spd,2,919,鈦銧奇鞋,16,,,,candidate; availability and shared inventory not solved
1,foot,add_spd,3,912,神駝靴,10,,,,candidate; availability and shared inventory not solved
1,foot,add_hp,1,910,歌神之靴,2,,,,candidate; availability and shared inventory not solved
1,foot,add_mp,1,910,歌神之靴,2,,,,candidate; availability and shared inventory not solved
1,accessory,add_atk,1,981,龍睛法戒,8,,,,candidate; availability and shared inventory not solved
1,accessory,add_atk,2,992,白玉飛天珮,6,,,,candidate; availability and shared inventory not solved
1,accessory,add_atk,3,986,惡魔風笛,5,,,,candidate; availability and shared inventory not solved
1,accessory,add_def,1,982,詛咒魔戒,10,,,,candidate; availability and shared inventory not solved
1,accessory,add_def,2,996,太極護符,6,,,,candidate; availability and shared inventory not solved
1,accessory,add_def,3,993,白玉龍紋珮,5,,,,candidate; availability and shared inventory not solved
1,accessory,add_spd,1,977,象牙戒指,3,,,,candidate; availability and shared inventory not solved
1,accessory,add_spd,2,983,銀笛,3,,,,candidate; availability and shared inventory not solved
1,accessory,add_spd,3,993,白玉龍紋珮,3,,,,candidate; availability and shared inventory not solved
1,accessory,add_mp,1,978,瑪瑙戒指,20,,,,candidate; availability and shared inventory not solved
2,weapon,add_atk,1,536,萬鈞神弩,200,40,400,8137,candidate; availability and shared inventory not solved
2,weapon,add_atk,2,530,天燎,180,50,350,8063,candidate; availability and shared inventory not solved
2,weapon,add_atk,3,531,地湧,150,30,100,8067,candidate; availability and shared inventory not solved
2,weapon,add_def,1,531,地湧,20,30,100,8067,candidate; availability and shared inventory not solved
2,weapon,add_def,2,536,萬鈞神弩,8,40,400,8137,candidate; availability and shared inventory not solved
2,weapon,add_def,3,526,華蓮七彩弓,5,35,280,8134,candidate; availability and shared inventory not solved
2,weapon,add_spd,1,530,天燎,5,50,350,8063,candidate; availability and shared inventory not solved
2,weapon,add_spd,2,533,絕情貓袖箭,3,15,300,8069,candidate; availability and shared inventory not solved
2,weapon,add_spd,3,534,神臂弓,2,28,200,8070,candidate; availability and shared inventory not solved
2,head,add_atk,1,1024,藍夷髮帶,5,,,,candidate; availability and shared inventory not solved
2,head,add_atk,2,1022,安碧特麗之冠,2,,,,candidate; availability and shared inventory not solved
2,head,add_atk,3,1029,法藏,2,,,,candidate; availability and shared inventory not solved
2,head,add_def,1,1030,鏡舞,38,,,,candidate; availability and shared inventory not solved
2,head,add_def,2,1025,天蠶絲帶,35,,,,candidate; availability and shared inventory not solved
2,head,add_def,3,1029,法藏,32,,,,candidate; availability and shared inventory not solved
2,head,add_spd,1,1028,鬼雲,4,,,,candidate; availability and shared inventory not solved
2,head,add_spd,2,1029,法藏,4,,,,candidate; availability and shared inventory not solved
2,head,add_spd,3,1031,千葉,2,,,,candidate; availability and shared inventory not solved
2,chest,add_atk,1,1010,鳳凰羽衣,5,,,,candidate; availability and shared inventory not solved
2,chest,add_atk,2,1016,血殷長袍,5,,,,candidate; availability and shared inventory not solved
2,chest,add_atk,3,863,銀絲戰袍,3,,,,candidate; availability and shared inventory not solved
2,chest,add_def,1,1015,白狐披風,118,,,,candidate; availability and shared inventory not solved
2,chest,add_def,2,1009,玄雪絲衣,113,,,,candidate; availability and shared inventory not solved
2,chest,add_def,3,1010,鳳凰羽衣,108,,,,candidate; availability and shared inventory not solved
2,chest,add_spd,1,1011,護心鏡,4,,,,candidate; availability and shared inventory not solved
2,chest,add_spd,2,1008,天蠶絲衣,3,,,,candidate; availability and shared inventory not solved
2,chest,add_spd,3,1009,玄雪絲衣,3,,,,candidate; availability and shared inventory not solved
2,chest,add_hp,1,1018,毛獸大衣,3,,,,candidate; availability and shared inventory not solved
2,chest,add_mp,1,1015,白狐披風,8,,,,candidate; availability and shared inventory not solved
2,hand,add_atk,1,1052,修羅膀腕,12,,,,candidate; availability and shared inventory not solved
2,hand,add_atk,2,889,子雷手套,10,,,,candidate; availability and shared inventory not solved
2,hand,add_atk,3,880,冰晶腕,6,,,,candidate; availability and shared inventory not solved
2,hand,add_def,1,889,子雷手套,48,,,,candidate; availability and shared inventory not solved
2,hand,add_def,2,884,靈蛇手套,40,,,,candidate; availability and shared inventory not solved
2,hand,add_def,3,880,冰晶腕,38,,,,candidate; availability and shared inventory not solved
2,hand,add_spd,1,881,青電臂,6,,,,candidate; availability and shared inventory not solved
2,hand,add_spd,2,1052,修羅膀腕,3,,,,candidate; availability and shared inventory not solved
2,hand,add_spd,3,884,靈蛇手套,2,,,,candidate; availability and shared inventory not solved
2,hand,add_hp,1,1048,加卡達鐲,100,,,,candidate; availability and shared inventory not solved
2,foot,add_atk,1,909,雅典之靴,15,,,,candidate; availability and shared inventory not solved
2,foot,add_atk,2,1034,鷹爪靴,2,,,,candidate; availability and shared inventory not solved
2,foot,add_def,1,909,雅典之靴,18,,,,candidate; availability and shared inventory not solved
2,foot,add_def,2,1038,綑鍊鞋,18,,,,candidate; availability and shared inventory not solved
2,foot,add_def,3,1039,繡花葉鞋,13,,,,candidate; availability and shared inventory not solved
2,foot,add_spd,1,916,踏風草鞋,16,,,,candidate; availability and shared inventory not solved
2,foot,add_spd,2,909,雅典之靴,10,,,,candidate; availability and shared inventory not solved
2,foot,add_spd,3,914,菟縱鞋,10,,,,candidate; availability and shared inventory not solved
2,foot,add_hp,1,1039,繡花葉鞋,200,,,,candidate; availability and shared inventory not solved
2,foot,add_hp,2,1036,鳳羽靴,2,,,,candidate; availability and shared inventory not solved
2,accessory,add_atk,1,994,五彩石項鍊,10,,,,candidate; availability and shared inventory not solved
2,accessory,add_atk,2,992,白玉飛天珮,6,,,,candidate; availability and shared inventory not solved
2,accessory,add_atk,3,986,惡魔風笛,5,,,,candidate; availability and shared inventory not solved
2,accessory,add_def,1,982,詛咒魔戒,10,,,,candidate; availability and shared inventory not solved
2,accessory,add_def,2,994,五彩石項鍊,10,,,,candidate; availability and shared inventory not solved
2,accessory,add_def,3,996,太極護符,6,,,,candidate; availability and shared inventory not solved
2,accessory,add_spd,1,977,象牙戒指,3,,,,candidate; availability and shared inventory not solved
2,accessory,add_spd,2,983,銀笛,3,,,,candidate; availability and shared inventory not solved
2,accessory,add_spd,3,993,白玉龍紋珮,3,,,,candidate; availability and shared inventory not solved
2,accessory,add_hp,1,1002,紅寶石耳環,40,,,,candidate; availability and shared inventory not solved
2,accessory,add_mp,1,1001,綠玉耳環,80,,,,candidate; availability and shared inventory not solved
2,accessory,add_mp,2,978,瑪瑙戒指,20,,,,candidate; availability and shared inventory not solved
2,accessory,add_mp,3,1002,紅寶石耳環,20,,,,candidate; availability and shared inventory not solved
3,weapon,add_atk,1,553,四極皇霸刀,215,25,250,8131,candidate; availability and shared inventory not solved
3,weapon,add_atk,2,541,麟火吞月刀,170,20,200,8120,candidate; availability and shared inventory not solved
3,weapon,add_atk,3,542,無瑕雙刀,138,22,220,8121,candidate; availability and shared inventory not solved
3,weapon,add_def,1,553,四極皇霸刀,10,25,250,8131,candidate; availability and shared inventory not solved
3,weapon,add_def,2,541,麟火吞月刀,5,20,200,8120,candidate; availability and shared inventory not solved
3,weapon,add_def,3,540,鬼眼法刀,3,30,500,8119,candidate; availability and shared inventory not solved
3,weapon,add_spd,1,539,刃風刀,3,4,130,8118,candidate; availability and shared inventory not solved
3,weapon,add_spd,2,542,無瑕雙刀,3,22,220,8121,candidate; availability and shared inventory not solved
3,weapon,add_spd,3,544,太皇刀─藍牙,3,10,300,8123,candidate; availability and shared inventory not solved
3,weapon,add_mp,1,543,太皇刀─綠痕,30,27,270,8122,candidate; availability and shared inventory not solved
3,head,add_atk,1,1024,藍夷髮帶,5,,,,candidate; availability and shared inventory not solved
3,head,add_atk,2,1022,安碧特麗之冠,2,,,,candidate; availability and shared inventory not solved
3,head,add_atk,3,1029,法藏,2,,,,candidate; availability and shared inventory not solved
3,head,add_def,1,1025,天蠶絲帶,35,,,,candidate; availability and shared inventory not solved
3,head,add_def,2,1029,法藏,32,,,,candidate; availability and shared inventory not solved
3,head,add_def,3,1027,麒麟緞帶,28,,,,candidate; availability and shared inventory not solved
3,head,add_spd,1,1028,鬼雲,4,,,,candidate; availability and shared inventory not solved
3,head,add_spd,2,1029,法藏,4,,,,candidate; availability and shared inventory not solved
3,head,add_spd,3,1031,千葉,2,,,,candidate; availability and shared inventory not solved
3,chest,add_atk,1,1010,鳳凰羽衣,5,,,,candidate; availability and shared inventory not solved
3,chest,add_atk,2,1012,光紗天衣,4,,,,candidate; availability and shared inventory not solved
3,chest,add_atk,3,863,銀絲戰袍,3,,,,candidate; availability and shared inventory not solved
3,chest,add_def,1,1017,天仙神衣,134,,,,candidate; availability and shared inventory not solved
3,chest,add_def,2,1009,玄雪絲衣,113,,,,candidate; availability and shared inventory not solved
3,chest,add_def,3,1010,鳳凰羽衣,108,,,,candidate; availability and shared inventory not solved
3,chest,add_spd,1,1011,護心鏡,4,,,,candidate; availability and shared inventory not solved
3,chest,add_spd,2,1008,天蠶絲衣,3,,,,candidate; availability and shared inventory not solved
3,chest,add_spd,3,1009,玄雪絲衣,3,,,,candidate; availability and shared inventory not solved
3,chest,add_hp,1,1018,毛獸大衣,3,,,,candidate; availability and shared inventory not solved
3,hand,add_atk,1,1052,修羅膀腕,12,,,,candidate; availability and shared inventory not solved
3,hand,add_atk,2,889,子雷手套,10,,,,candidate; availability and shared inventory not solved
3,hand,add_atk,3,1053,千佛鐲,8,,,,candidate; availability and shared inventory not solved
3,hand,add_def,1,889,子雷手套,48,,,,candidate; availability and shared inventory not solved
3,hand,add_def,2,884,靈蛇手套,40,,,,candidate; availability and shared inventory not solved
3,hand,add_def,3,880,冰晶腕,38,,,,candidate; availability and shared inventory not solved
3,hand,add_spd,1,881,青電臂,6,,,,candidate; availability and shared inventory not solved
3,hand,add_spd,2,1052,修羅膀腕,3,,,,candidate; availability and shared inventory not solved
3,hand,add_spd,3,884,靈蛇手套,2,,,,candidate; availability and shared inventory not solved
3,hand,add_hp,1,1048,加卡達鐲,100,,,,candidate; availability and shared inventory not solved
3,hand,add_mp,1,1053,千佛鐲,20,,,,candidate; availability and shared inventory not solved
3,hand,add_mp,2,1051,蓮腕釧,2,,,,candidate; availability and shared inventory not solved
3,foot,add_atk,1,1034,鷹爪靴,2,,,,candidate; availability and shared inventory not solved
3,foot,add_def,1,1040,流光鞋,20,,,,candidate; availability and shared inventory not solved
3,foot,add_def,2,1038,綑鍊鞋,18,,,,candidate; availability and shared inventory not solved
3,foot,add_def,3,1035,冰雕鞋,12,,,,candidate; availability and shared inventory not solved
3,foot,add_spd,1,916,踏風草鞋,16,,,,candidate; availability and shared inventory not solved
3,foot,add_spd,2,1040,流光鞋,11,,,,candidate; availability and shared inventory not solved
3,foot,add_spd,3,914,菟縱鞋,10,,,,candidate; availability and shared inventory not solved
3,foot,add_hp,1,1036,鳳羽靴,2,,,,candidate; availability and shared inventory not solved
3,accessory,add_atk,1,994,五彩石項鍊,10,,,,candidate; availability and shared inventory not solved
3,accessory,add_atk,2,992,白玉飛天珮,6,,,,candidate; availability and shared inventory not solved
3,accessory,add_atk,3,986,惡魔風笛,5,,,,candidate; availability and shared inventory not solved
3,accessory,add_def,1,982,詛咒魔戒,10,,,,candidate; availability and shared inventory not solved
3,accessory,add_def,2,994,五彩石項鍊,10,,,,candidate; availability and shared inventory not solved
3,accessory,add_def,3,996,太極護符,6,,,,candidate; availability and shared inventory not solved
3,accessory,add_spd,1,977,象牙戒指,3,,,,candidate; availability and shared inventory not solved
3,accessory,add_spd,2,983,銀笛,3,,,,candidate; availability and shared inventory not solved
3,accessory,add_spd,3,993,白玉龍紋珮,3,,,,candidate; availability and shared inventory not solved
3,accessory,add_hp,1,1002,紅寶石耳環,40,,,,candidate; availability and shared inventory not solved
3,accessory,add_mp,1,1001,綠玉耳環,80,,,,candidate; availability and shared inventory not solved
3,accessory,add_mp,2,978,瑪瑙戒指,20,,,,candidate; availability and shared inventory not solved
3,accessory,add_mp,3,1002,紅寶石耳環,20,,,,candidate; availability and shared inventory not solved
4,weapon,add_atk,1,562,憾天神槍,248,22,220,8171,candidate; availability and shared inventory not solved
4,weapon,add_atk,2,556,如意金箍棒,200,40,500,8165,candidate; availability and shared inventory not solved
4,weapon,add_atk,3,559,方天戟,183,17,170,8168,candidate; availability and shared inventory not solved
4,weapon,add_def,1,559,方天戟,15,17,170,8168,candidate; availability and shared inventory not solved
4,weapon,add_def,2,558,鉤鐮槍,3,13,300,8167,candidate; availability and shared inventory not solved
4,weapon,add_def,3,562,憾天神槍,3,22,220,8171,candidate; availability and shared inventory not solved
4,head,add_atk,1,902,紫金冠,5,,,,candidate; availability and shared inventory not solved
4,head,add_atk,2,904,金霞盔,2,,,,candidate; availability and shared inventory not solved
4,head,add_atk,3,905,聖獸玲瓏冠,2,,,,candidate; availability and shared inventory not solved
4,head,add_def,1,905,聖獸玲瓏冠,70,,,,candidate; availability and shared inventory not solved
4,head,add_def,2,904,金霞盔,66,,,,candidate; availability and shared inventory not solved
4,head,add_def,3,900,龍鱗盔,50,,,,candidate; availability and shared inventory not solved
4,head,add_spd,1,1028,鬼雲,4,,,,candidate; availability and shared inventory not solved
4,head,add_spd,2,902,紫金冠,2,,,,candidate; availability and shared inventory not solved
4,head,add_spd,3,904,金霞盔,2,,,,candidate; availability and shared inventory not solved
4,head,add_hp,1,900,龍鱗盔,2,,,,candidate; availability and shared inventory not solved
4,chest,add_atk,1,871,九龍雲生冑,8,,,,candidate; availability and shared inventory not solved
4,chest,add_atk,2,856,片葉鎧,5,,,,candidate; availability and shared inventory not solved
4,chest,add_atk,3,858,紫堂殼,3,,,,candidate; availability and shared inventory not solved
4,chest,add_def,1,871,九龍雲生冑,140,,,,candidate; availability and shared inventory not solved
4,chest,add_def,2,862,龍鬚衣,110,,,,candidate; availability and shared inventory not solved
4,chest,add_def,3,867,蒼蟒錦衣,100,,,,candidate; availability and shared inventory not solved
4,chest,add_spd,1,858,紫堂殼,5,,,,candidate; availability and shared inventory not solved
4,chest,add_spd,2,1011,護心鏡,4,,,,candidate; availability and shared inventory not solved
4,chest,add_spd,3,867,蒼蟒錦衣,3,,,,candidate; availability and shared inventory not solved
4,chest,add_hp,1,857,癒傷之鎧,5,,,,candidate; availability and shared inventory not solved
4,chest,add_hp,2,1018,毛獸大衣,3,,,,candidate; availability and shared inventory not solved
4,chest,add_hp,3,861,天珠武鎧,2,,,,candidate; availability and shared inventory not solved
4,chest,add_mp,1,861,天珠武鎧,2,,,,candidate; availability and shared inventory not solved
4,hand,add_atk,1,1052,修羅膀腕,12,,,,candidate; availability and shared inventory not solved
4,hand,add_atk,2,879,地痞手套,10,,,,candidate; availability and shared inventory not solved
4,hand,add_atk,3,889,子雷手套,10,,,,candidate; availability and shared inventory not solved
4,hand,add_def,1,886,縛閻指套,58,,,,candidate; availability and shared inventory not solved
4,hand,add_def,2,889,子雷手套,48,,,,candidate; availability and shared inventory not solved
4,hand,add_def,3,882,仙風膀,46,,,,candidate; availability and shared inventory not solved
4,hand,add_spd,1,879,地痞手套,8,,,,candidate; availability and shared inventory not solved
4,hand,add_spd,2,881,青電臂,6,,,,candidate; availability and shared inventory not solved
4,hand,add_spd,3,1052,修羅膀腕,3,,,,candidate; availability and shared inventory not solved
4,hand,add_hp,1,1048,加卡達鐲,100,,,,candidate; availability and shared inventory not solved
4,hand,add_hp,2,878,掃羅手套,10,,,,candidate; availability and shared inventory not solved
4,foot,add_atk,1,910,歌神之靴,5,,,,candidate; availability and shared inventory not solved
4,foot,add_atk,2,913,虎爪鞋,3,,,,candidate; availability and shared inventory not solved
4,foot,add_atk,3,911,武裝鞋,2,,,,candidate; availability and shared inventory not solved
4,foot,add_def,1,915,帶火風輪,28,,,,candidate; availability and shared inventory not solved
4,foot,add_def,2,912,神駝靴,20,,,,candidate; availability and shared inventory not solved
4,foot,add_def,3,1038,綑鍊鞋,18,,,,candidate; availability and shared inventory not solved
4,foot,add_spd,1,915,帶火風輪,18,,,,candidate; availability and shared inventory not solved
4,foot,add_spd,2,916,踏風草鞋,16,,,,candidate; availability and shared inventory not solved
4,foot,add_spd,3,912,神駝靴,10,,,,candidate; availability and shared inventory not solved
4,foot,add_hp,1,910,歌神之靴,2,,,,candidate; availability and shared inventory not solved
4,foot,add_mp,1,910,歌神之靴,2,,,,candidate; availability and shared inventory not solved
4,accessory,add_atk,1,981,龍睛法戒,8,,,,candidate; availability and shared inventory not solved
4,accessory,add_atk,2,992,白玉飛天珮,6,,,,candidate; availability and shared inventory not solved
4,accessory,add_atk,3,986,惡魔風笛,5,,,,candidate; availability and shared inventory not solved
4,accessory,add_def,1,982,詛咒魔戒,10,,,,candidate; availability and shared inventory not solved
4,accessory,add_def,2,996,太極護符,6,,,,candidate; availability and shared inventory not solved
4,accessory,add_def,3,993,白玉龍紋珮,5,,,,candidate; availability and shared inventory not solved
4,accessory,add_spd,1,977,象牙戒指,3,,,,candidate; availability and shared inventory not solved
4,accessory,add_spd,2,983,銀笛,3,,,,candidate; availability and shared inventory not solved
4,accessory,add_spd,3,993,白玉龍紋珮,3,,,,candidate; availability and shared inventory not solved
4,accessory,add_mp,1,978,瑪瑙戒指,20,,,,candidate; availability and shared inventory not solved
