"item_id","name","race_id","level","act","existing_living_card","story_or_special_flag","not_in_book","is_unique","discard","hp","atk","def","spd","wis","dodge_rate","escape_rate","gain_exp","gain_gold","basic_attack_effect_id","skill_ids","skill_counts","skill_rate","special_effect_ids","special_effect_counts","special_effect_rate","critical_skill_ids","critical_skill_counts","drop_item_ids","drop_item_rates","attr_fire","attr_ice","attr_wind","attr_earth","attr_poison","attr_light","attr_dark","attr_thunder","attr_physical","help_text"
"71","木鐵人","13","50","71","","Y","","","","3500","360","133","58","0","4","1","300","500","132","1689|1689","4|3","5","303","8","4","","","0|692","0|4","2","0","0","-10","-10","0","0","-2","-2","少林寺木人巷的機關裝置，為了測試修行者的武術而製造的。"
"72","康那里士","23","54","72","","Y","","","","12500","540","80","62","150","4","1","800","600","257","1693|1684|1552","4|3|3","5","","","0","1697|1683","2|1","","","0","0","0","0","-4","8","-20","2","0","梅羅文加護教騎士的指導教士。"
"73","撒旦麥爾斯","23","55","73","","Y","","","","8600","500","113","58","200","3","1","1000","800","1","1688|1688","2|3","6","390|391","3|2","5","1683|1697","1|2","","","-2","-2","-2","-2","-2","6","-16","-2","0","潛在魔性覺醒後的麥爾斯，除了外形之外可以說是完完整整的撒旦了。"
"74","撒旦","1","70","74","","Y","Y","","","30000","999","999","70","200","6","0","0","0","122","","","0","","","0","","","","","-8","-8","-8","-8","-8","4","-14","-8","0","地獄界其中之一的集團首領，自古以來就叛逆天上界，到處在地上界暗中擾亂人類的安寧，酷愛戰爭與流血。平常不輕易現身，絕大部分都是暗中指揮，這是避免被執法神逮住。"
"75","撒旦賽特","23","60","75","","Y","","","","30000","750","166","92","200","5","0","3000","5000","412","1710|1710","5|5","6","413|414","8|8","5","","","793","20","-2","-4","-2","-2","-4","-4","-14","-2","0","使用賽特屍體復活的撒旦，因為是操縱屍體，無法自在的運用撒旦真正的力量。"
"76","羯忍幻機","13","52","76","","","","","","1800","500","162","58","100","3","2","120","80","122","","","0","397|398","5|8","5","","","0|629","0|2","2","0","0","0","0","2","0","-4","0","黃雷在超越技術瓶頸後，與妖魔所組合而成的超級機關獸。"
"93","慧彥","23","38","93","","Y","Y","","","500","230","130","51","180","10","1","0","0","188","","","0","","","0","","","","","-10","-10","-10","-10","-10","-10","-10","-10","-10","中國少林寺僧人，中國武術高超。外型瘦小平凡，穿著破爛唐裝與披風，微留白髮，笑容可拘。"
"101","黏怪","9","12","101","Y","","","","","6","19","18","16","10","2","3","2","3","1","","","10","23","3","3","","","621","2","8","0","0","0","0","0","0","0","0","由動物靈所控制的單細胞生命體，會攻擊其他生物，用分泌出來的強酸來吞食。"
"102","蛇","14","13","102","","","","","","20","25","20","20","20","3","2","3","5","4","","","0","10","3","3","","","","","2","0","0","0","0","0","0","0","0","通常蛇認為人類侵入牠的地盤時，就會展開攻擊；有些是含有劇毒的。"
"103","獅","14","25","103","","","","","","160","123","90","45","50","4","1","25","20","1","","","0","113","3","3","","","","","0","0","0","0","0","0","0","0","0","在飢餓時會獵食，一般都是母獅出外獵食較多。"
"104","虎","14","25","104","","","","","","180","128","93","42","60","4","1","28","20","4","","","0","113","3","3","","","","","0","0","0","0","0","0","0","0","0","盤據在森林或山林中，是非常又攻擊性的猛獸；牠的攻擊是很難令人捉摸的，被牠的爪揮過去的話可能會一擊斃命的。"
"105","度度鳥","14","14","105","","","","","","15","20","13","21","12","2","2","4","2","4","","","0","24","3","3","","","","","2","0","0","0","0","0","0","0","0","一種嘴堅硬碩大、翅膀短小、腳蹄粗短、奔走速度極快的鳥；傳說如果可以得到牠尾巴的羽毛會帶來好運的。"
"106","野猴","14","12","106","","","","","","20","21","15","22","10","3","3","5","4","1","","","0","25","3","3","","","","","0","0","0","0","0","0","0","0","0","群居性動物，經常在森林、叢林等地偷襲來往的人類搶奪食物。"
"107","黑金剛","14","16","107","","","","","","30","33","16","18","20","2","1","8","5","1","","","0","26","3","3","","","","","0","0","0","0","0","0","0","0","0","只在少數的密林的出沒，體型碩大、力大無窮；吼叫時聽了都令人生畏，曾有人目睹金剛把老虎打倒在地大聲吼叫。"
"108","熊","14","17","108","","","","","","35","35","18","20","13","1","1","10","7","8","","","0","26","3","2","","","","","0","0","0","0","0","0","0","0","0","用爪痕當標記以區別領域，通常會攻擊別的生物大都是侵犯到牠的地盤所致。"
"109","吸血蝙蝠","14","8","109","","","","","","10","20","15","20","10","3","2","8","10","76","","","0","9","3","3","","","","","4","0","0","0","-4","0","0","0","0","夜出晝寢的吸血動物，少數地區的蝙蝠可以生長的如此快速的；但相對的吸的血也比一般的蝙蝠多。"
"110","毒蠍子","14","10","110","","","","","","15","21","13","20","14","4","2","11","20","2","","","0","10","3","3","","","","","0","0","0","0","0","0","0","0","0","主要分布在各溫暖地區，要小心牠的雙螯和那根毒針；具有麻醉作用。"
"111","毒蜘蛛","14","6","111","","","","","","15","22","17","21","10","3","2","13","20","6","","","0","","","0","","","","","4","0","0","0","-4","0","0","0","0","所有的蜘蛛都是肉食性的，特別是含有劇毒的；出外旅行時可得小心防範。"
"112","隱翅蟲","14","9","112","","","","","","12","19","10","22","10","4","2","10","10","76","","","0","81","2","8","","","","","0","0","0","0","0","0","0","0","0","將翅膀隱藏起來慢慢爬行到人體後再用刺吸式口器吸食血肉，等到發現時再展翅高飛而去。"
"113","巨蛾","14","8","113","","","","","","15","23","13","23","10","2","1","13","15","6","","","0","","","0","","","621","4","4","0","0","0","-4","0","0","0","0","突變的巨大飛蛾，翅膀能灑下毒粉使人昏迷；在一般乾燥明亮地區經常出沒。"
"114","毒蟾蜍","14","10","114","","","","","","15","19","13","16","15","3","2","9","20","1","","","0","10","3","5","","","","","0","0","0","0","0","0","0","0","0","其幼蟲大部份成體在遠離水源的地方，皮膚乾燥長滿許多疣；在遭襲擊時能產生毒素攻擊敵人。"
"115","巨蛙","14","5","115","","","","","","12","19","14","24","10","1","2","12","15","1","","","0","","","0","","","","","4","0","0","0","-4","0","0","0","0","特例的變種蛙。"
"116","水蛇","14","9","116","","","","","","20","23","12","22","10","3","2","13","20","4","","","0","","","0","","","","","4","0","0","0","-4","0","0","0","0","只在潮濕或者多水的區域出現，通常是無毒的。"
"117","狼","14","23","117","","","","","","125","118","82","41","20","4","2","8","8","8","","","0","","","0","","","","","0","0","0","0","0","0","0","0","0","只能看的到與視野成一直線的獵物，一但被盯上了很難擺脫的掉；經常結群獵捕食物。"
"118","吸血殭屍","3","18","118","Y","","","","","60","60","45","35","30","3","2","12","18","4","","","0","","","0","","","0|625","0|3","2","0","0","0","-2","4","-2","0","0","被吸血鬼吸血致死的人。如果沒被黑暗之主選上的話，只能作一沒有意識的害人軀殼。"
"119","鷹","14","25","119","","","","","","170","140","73","42","48","4","1","30","28","76","","","0","","","0","","","","","0","0","0","0","0","0","0","0","0","翱翔於天空中看到獵物時則俯衝向下；用爪子抓住獵物身體，一般被抓的獵物在回巢前就已死亡了。"
"120","蜈蚣","14","13","120","","","","","","35","42","28","30","15","4","2","9","12","1","","","0","33","3","3","","","","","2","0","0","-2","0","0","0","0","0","無論大小各種蜈蚣人們都認為是非常毒的昆蟲；也是五毒之一所以不管有毒是否皆得小心。"
"121","黑蜈蚣","14","16","121","","","","","","40","52","43","36","15","4","2","10","8","1","","","0","33","3","3","","","","","2","0","0","-2","0","0","0","0","0","無論大小各種蜈蚣人們都認為是非常毒的昆蟲；也是五毒之一所以不管有毒是否皆得小心尤其是黑蜈蚣。"
"122","紅耳蝙蝠","14","15","122","","","","","","45","57","48","43","40","4","1","8","10","8","","","0","78","3","3","","","","","2","0","0","0","-10","0","0","0","0","夜出晝寢的吸血動物，再某些基因突變後生出一對紅耳，而且也變得特別兇惡。"
"123","北歐狼","14","18","123","","","","","","60","77","45","38","35","4","1","14","30","40","","","0","","","0","","","","","0","0","0","0","0","0","0","0","0","來自歐洲北部的狼，攻擊性與體型都較一般的狼來的強。"
"124","炎靈子","2","44","124","Y","","","","","630","380","80","58","135","4","1","65","120","350","","","0","424|423","5|4","5","","","","","-12","4","0","0","0","0","0","0","0","一般是被召喚出現的，可以自由的控制火燄；炎靈子出現時所有的火燄便如有生命般的任意飛舞。"
"125","吸血鬼王","3","26","125","Y","","","","","100","87","40","43","50","3","1","20","28","27","1551","3","3","42","4","4","","","0|625","0|3","2","0","0","0","-10","4","-4","2","0","眾多吸血鬼中，能力較高者。"
"126","邪靈","7","25","126","Y","","","","","30","83","85","40","60","5","1","18","15","134","","","0","","","0","","","0|621","0|3","0","0","0","0","0","4","-4","0","0","常與惡靈在一起，但因怨念與邪心較重，所以也較惡靈可怕。"
"127","石骨魚","5","16","127","Y","","","","","30","45","30","26","18","3","2","8","10","1","","","0","","","0","","","647","5","2","-2","0","0","0","0","0","0","0","鱗片如石般堅硬，眼大如牛、鰭如火燄；專吃木頭的怪獸。"
"128","石骨飛魚","5","20","128","Y","","","","","50","58","43","40","18","3","2","11","10","134","","","0","","","0","","","624","3","2","-2","0","0","0","0","0","0","0","某些石骨魚妖力較高的會生出一對翅膀，所有的能力也較高。"
"129","阿加希歐","9","27","129","Y","","","","","200","147","64","46","120","4","1","40","30","5","1662","5","3","","","0","","","0|637","0|3","0","2","0","0","0","2","-2","-4","0","是一種與巫師定下契約的妖精，通常被封於瓶子或戒指之內，在需要時再將其呼喚出，其能力相當廣泛，從做家事到殺人皆沒問題。達成任務後便又被封回去了。"
"130","獢","5","24","130","Y","","","","","120","80","43","42","15","3","1","25","20","69","","","0","68","3","3","","","0|627","0|3","0","0","0","0","0","2","0","0","0","梟頭、狼身、蛇尾，傳言會以恐怖怪異的叫聲震懾敵人，只能被召喚出現；傳說是地獄的魔獸。"
"131","吸血鬼","3","22","131","Y","","","","","43","52","32","33","30","3","2","30","50","27","","","0","31","5","3","","","644","2","0","0","0","0","0","0","0","0","0","當人死前與撒旦定下契約，死後身體不會腐敗但須定時的吸食人血補充精力。"
"132","侏儒","6","15","132","Y","","","","","18","31","25","23","25","1","2","10","12","34","","","0","18","5","3","","","636","3","2","0","0","0","0","0","0","0","0","長年在地底下的小人，非常喜好黃金的類人獸。會說人類的語言；很喜歡唱歌力量也很大，一種奇特的種族。"
"133","亞格瑞斯","1","26","133","Y","","","","","125","100","56","36","50","3","1","28","30","41","","","0","","","0","","","0|629","0|3","-2","-2","-2","-6","0","4","-2","-2","0","原本是神界的力天使，但是受到惡魔的蠱惑製造了大地震，傷害了許多無辜人民因而被逐至陰間。"
"134","半人馬","8","26","134","Y","","","","","110","90","53","43","70","4","1","30","27","40","1665","3","3","","","0","","","0|683","0|3","0","0","0","0","-10","0","0","0","0","原本是天界的神，醫術、藝術、音樂等都非常的卓越；某山的守護神，後因被親近的人陷害下毒，在僥倖存活下來後就變成了半人半馬的聖獸了。"
"135","美杜莎","8","24","135","Y","","","","","100","80","57","45","50","5","2","23","12","135","","","0","43","4","3","","","0|651","0|3","2","0","0","0","-10","2","-2","0","0","高哥三女妖的其中一位，半人半蛇的女妖眼泛青光，被她看見的生物馬上會變成石頭。"
"136","格萊艾","9","24","136","Y","","","","","150","80","38","48","90","5","1","27","15","137","","","0","44","3","3","","","625","3","-2","-2","-2","-2","-2","-2","-2","-2","0","居住在長年不見天日的山洞中；三人一體的女妖共用一隻眼和一張嘴，卻是能知過去未來的女妖。"
"137","凱貝羅斯","5","28","137","Y","","","","","130","90","46","43","56","5","1","30","38","4","","","0","45","4","3","","","0|626","0|3","-6","2","0","0","0","4","-4","0","0","生有三個狗頭一條蛇尾，身上又長著昂首的蛇；是陰府看守犯人的地獄犬。"
"138","寒蛙","5","24","138","Y","","","","","140","111","65","43","70","4","1","18","20","133","","","3","102","3","0","","","649","5","4","-2","0","0","0","0","0","0","0","在海中生長但是卻吃陸地的生物，尤其是貓、狗、鼠類的動物；能飛行獵食，當他遇上危險時，能發出使人致命的叫聲。"
"139","瓶女","9","28","139","Y","","","","","180","102","55","45","100","4","1","35","23","98","","","0","99","4","3","","","626","3","2","-4","-2","2","0","0","0","0","0","化身成貌美的女人在村鎮誘惑男人；在與男人交歡時將其精氣全數吸盡。其實她是暴風神的妻子，喜歡吸收精氣增加自己的法力。"
"140","妖貓","3","23","140","Y","","","","","90","93","42","53","90","6","2","28","20","90","1670","2","3","","","0","","","624","3","0","0","0","0","0","0","0","0","0","當一些惡靈附身在其它死去的軀殼上時，就會產生一些變化；被長期的附身後全身成綠色且站立行走模樣甚是可怕。"
"141","牛頭魚","5","27","141","Y","","","","","160","113","58","48","65","3","1","38","25","131","1669","3","4","","","0","","","629","3","2","-6","0","0","0","0","0","0","0","傳說在古代亞歷山大東征時，在印度遇到的牛頭怪魚，頭有三隻角嘴能隨意變換大小，軍隊目睹此怪吞食大象，還被吃去26人。也有人在歐洲發現過這種怪物。"
"142","雪球怪","9","22","142","Y","","","","","100","116","89","40","80","5","2","23","18","107","1679","2","3","","","0","","","0|637","0|3","4","-10","0","0","0","0","0","0","0","外型圓巧可愛，生長在雪地的小精靈。不知為了什麼，牠會把一切看的到的生物都凍結起來，大概是為了增加夥伴吧？"
"143","溫蒂妮","6","27","143","Y","","","","","155","110","60","45","110","4","1","32","26","100","1671","5","3","","","0","","","625","3","2","-12","0","0","0","0","0","0","0","棲息在河川泉水的精靈，會以人類女性的姿態出現﹔傳說她也會與凡人相戀、結婚生子，但若她再回到原來棲息的河川，就會還原成水。"
"144","竹妖","8","40","144","Y","","","","","420","320","103","60","80","4","1","40","60","287","","","0","288|288","3|2","5","","","0|985","0|3","4","0","0","-8","0","0","0","0","0","一般民間對於竹子林的神秘感都有著許多傳說；常年的陰森詭異便流傳著一種附身在竹子上面攻擊生物的妖怪。"
"145","魍魎","8","44","145","Y","","","","","450","360","120","48","100","3","1","50","120","3","","","0","290|312","5|3","5","","","647|628","3|5","0","0","0","0","-10","0","0","0","0","瑞項有三子死後皆為疫鬼，其一為魍魎鬼，棲息於山川水木，好食死人肝臟，時常散佈疾病。"
"146","妖陀螺鬼","9","42","146","Y","","","","","500","400","130","56","140","2","1","80","150","291","","","0","292","6","4","","","0|654","0|4","-2","-2","-2","-2","0","-2","-2","-2","0","原本是天神們的法寶，後來逃下凡間興風作浪。"
"147","水仙","6","39","147","Y","","","","","330","310","90","48","100","3","2","45","68","253","1511|1511","2|2","4","","","0","","","630","3","6","-14","0","0","0","-6","0","0","0","身懷正氣之人被迫投江水後，有些能夠化身成仙，在凡間保佑善良的人。"
"148","七仙女","2","47","148","Y","","","","","1600","490","100","62","180","4","2","90","100","349","1698|1698","3|3","5","","","0","","","0|703","0|2","0","0","0","0","0","-8","2","0","0","玉帝有七位女兒，其中最小的曾私自下凡與凡間的男子董永結為夫婦，後被天將神兵抓回天庭。"
"149","九天玄女","0","58","149","Y","","","","","2200","500","96","65","180","4","1","180","100","399","1700|1698","8|5","6","","","0","1578|1578","2|1","0|714","0|1","0","0","0","0","0","-12","4","0","0","玄女乃是道家眾弟子為其封的尊稱；傳說原為天庭的玄鳥，被天帝派下凡間生下商朝的始祖─契，之後被後人供奉為神，道家更尊稱為“九天玄女娘娘”。"
"150","嫦娥","2","49","150","Y","","","","","1500","510","155","62","180","4","2","120","300","358","1548|1542|1548","6|4|3","5","","","0","","","0|652","0|3","0","0","-6","4","0","-2","2","0","0","后羿之妻，后羿因射日、除妖有功得西王母賜予不死藥兩粒，後因后羿得國土變得暴虐無道，嫦娥怕后羿得長生則百姓生活堪憂故竊食之；但食一則長生、食二則成仙，故奔月成仙。"
"151","瓊霜","6","36","151","Y","","","","","500","245","100","45","120","4","1","80","100","194","1682|1682","2|2","3","","","0","","","0|681","0|2","2","-12","0","0","0","0","0","0","0","敘利亞附近的古城，相傳有一石玉在霜降之時會不斷的湧出冰水，隨即出現一位長髮女孩；如果能在女孩消失之前得到她的一根頭髮，便能一生都幸福。"
"152","瑪特女神","0","45","152","Y","","","","","680","400","150","55","160","4","1","0","0","","","","0","425|426","5|7","5","","","0|673","0|2","0","0","0","-2","-6","-12","0","0","0","掌管真理、正義和裁判之神；張開翅膀、頭頂圓盤雙手拿著羽毛參加亡靈的審判。"
"153","瓦雀","0","31","153","Y","","","","","200","137","90","40","120","4","1","45","80","120","1676","3","3","","","0","1574","2","649","3","-2","-2","-2","-2","-2","-10","2","-2","0","下埃及蜂之國法老們的守護女神。"
"154","上元夫人","0","42","154","Y","","","","","600","360","110","50","130","4","1","100","80","260","","","3","261","4","3","1578|1578","2|2","0|643","0|3","0","0","0","0","0","-10","2","0","0","貌約二十，身穿青霜之袍，細長的頭髮纏繞全身，是統領十方玉女的天神。"
"155","蠶女","6","41","155","Y","","","","","800","475","156","62","120","3","1","90","80","307","1694|1694","5|5","5","","","0","","","0|630","0|3","0","0","0","0","0","0","0","0","0","在古蜀國境內成都城城郊的嘔絲之野，有一隻身披馬皮、馬頭形狀的蠶，能憑空變出蠶絲織衣，因為又是嘔絲之野的第一隻蠶所以也稱為蠶神。"
"156","女夷","6","43","156","Y","","","","","1430","460","98","64","138","4","2","86","130","386","1699|1699","4|4","5","","","0","","","0|711","0|2","0","0","-6","2","0","-2","2","0","0","當她擊鼓唱歌時，百谷禽鳥草木皆長，主春夏萬物生長之神也稱花神。"
"157","女夷22","10","43","157","Y","","","","","1430","460","98","64","138","4","2","86","130","386","1699|1699","4|4","5","","","0","","","0|711","0|2","0","0","-6","2","0","-2","2","0","0","當她擊鼓唱歌時，百谷禽鳥草木皆長，主春夏萬物生長之神也稱花神。"
"158","娥皇","0","50","158","Y","","","","","1700","503","108","60","160","4","2","120","230","153","1700|1686","5|3","5","","","0","","","0|632","0|1","-6","4","0","0","0","-4","2","0","0","堯帝的兩位女兒之一，堯為了考驗舜，將兩位女兒嫁予舜。後來舜駕崩於鄉湘江附近的九疑山。娥皇、女英聞之便至湘江哭祭，遂投江自盡。後人憐之便建廟祭祀；遂有湘君、湘夫人之稱。"
