"enemy_id","enemy_name","action_type","source_id","action_name","attack_effect_id","attack_point","attribute_id","wide_range","affixation_effect","continuous_turns","add_buff","initial_usage_count","ai_rate","cooldown"
"59","牛魔王","特殊攻擊","468","特殊攻擊效果 468","468","3000","10","","0","0","0","15","8","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"59","牛魔王","治療／危急技能","1588","八門定星術","14","0","0","","0","0","0","3","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"59","牛魔王","治療／危急技能","1588","八門定星術","14","0","0","","0","0","0","3","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"75","撒旦賽特","普通攻擊","","基本攻擊效果","412","0","9","","512","8","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"75","撒旦賽特","技能","1710","霸王崩山勁","415","1500","7","Y","0","0","0","5","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"75","撒旦賽特","技能","1710","霸王崩山勁","415","1500","7","Y","0","0","0","5","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"75","撒旦賽特","特殊攻擊","413","特殊攻擊效果 413","413","520","9","","0","0","0","8","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"75","撒旦賽特","特殊攻擊","414","特殊攻擊效果 414","414","2200","7","","0","0","0","8","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"28","撒旦","普通攻擊","","基本攻擊效果","463","0","9","","64","3","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"28","撒旦","技能","1711","百鬼碎裂","418","1200","4","Y","0","0","0","6","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"28","撒旦","技能","1712","百闇川聚","419","3000","7","Y","0","0","0","6","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"28","撒旦","技能","1713","拂塵燎原","420","2000","8","Y","0","0","0","6","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"28","撒旦","特殊攻擊","416","特殊攻擊效果 416","416","4000","1","","16","5","0","8","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"28","撒旦","特殊攻擊","417","特殊攻擊效果 417","417","2200","3","","512","8","0","10","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"28","撒旦","治療／危急技能","1","技能 1","","","","","","","","1","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"378","鬥戰聖佛","普通攻擊","","基本攻擊效果","122","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"378","鬥戰聖佛","技能","1705","神焰九轉","389","600","1","Y","0","0","0","8","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"378","鬥戰聖佛","技能","1704","草木皆兵","388","0","6","","0","0","0","5","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"378","鬥戰聖佛","技能","1705","神焰九轉","389","600","1","Y","0","0","0","8","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"32","雨丹子","普通攻擊","","基本攻擊效果","346","0","7","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"32","雨丹子","技能","1696","百毒魔爪","347","200","5","Y","4096","6","0","8","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"32","雨丹子","技能","1696","百毒魔爪","347","200","5","Y","4096","6","0","6","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"32","雨丹子","特殊攻擊","356","特殊攻擊效果 356","356","0","7","","0","0","0","3","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"32","雨丹子","特殊攻擊","356","特殊攻擊效果 356","356","0","7","","0","0","0","2","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"32","雨丹子","治療／危急技能","1697","萬妖聚靈","357","0","7","","0","0","0","2","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"32","雨丹子","治療／危急技能","1697","萬妖聚靈","357","0","7","","0","0","0","1","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"51","羯羊妖機","普通攻擊","","基本攻擊效果","131","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"51","羯羊妖機","技能","1693","三昧陰火劫","338","480","7","Y","0","0","0","7","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"51","羯羊妖機","技能","1693","三昧陰火劫","338","480","7","Y","0","0","0","4","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"51","羯羊妖機","特殊攻擊","3","特殊攻擊效果 3","3","0","9","","0","0","0","10","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"72","康那里士","普通攻擊","","基本攻擊效果","257","10","7","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"72","康那里士","技能","1693","三昧陰火劫","338","480","7","Y","0","0","0","4","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"72","康那里士","技能","1684","靈魔幻音","199","300","7","Y","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"72","康那里士","技能","1552","食魂咒","59","0","7","","64","5","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"72","康那里士","治療／危急技能","1697","萬妖聚靈","357","0","7","","0","0","0","2","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"72","康那里士","治療／危急技能","1683","魔氣縱橫","198","0","7","","0","0","0","1","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"53","雨丹子五鬼","普通攻擊","","基本攻擊效果","346","0","7","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"53","雨丹子五鬼","技能","1696","百毒魔爪","347","200","5","Y","4096","6","0","4","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"53","雨丹子五鬼","技能","1696","百毒魔爪","347","200","5","Y","4096","6","0","4","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"53","雨丹子五鬼","技能","1696","百毒魔爪","347","200","5","Y","4096","6","0","4","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"53","雨丹子五鬼","特殊攻擊","3","特殊攻擊效果 3","3","0","9","","0","0","0","4","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"38","鎮邪","普通攻擊","","基本攻擊效果","1","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"33","張客","普通攻擊","","基本攻擊效果","379","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"2202","NAME1032","普通攻擊","","基本攻擊效果","412","0","9","","512","8","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"438","蔡魔王","普通攻擊","","基本攻擊效果","1","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"438","蔡魔王","技能","1676","幻光聖劍","121","120","6","","0","0","0","2","1","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"438","蔡魔王","技能","1668","六芒星斬","73","80","7","Y","0","0","0","2","1","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"438","蔡魔王","特殊攻擊","1","特殊攻擊效果 1","1","0","9","","0","0","0","5","3","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"2203","山鬼","普通攻擊","","基本攻擊效果","3","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"2203","山鬼","特殊攻擊","2","特殊攻擊效果 2","2","0","9","","0","0","0","99","10","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"73","撒旦麥爾斯","普通攻擊","","基本攻擊效果","1","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"73","撒旦麥爾斯","技能","1688","魔氣貫頂","265","320","7","Y","0","0","0","2","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"73","撒旦麥爾斯","技能","1688","魔氣貫頂","265","320","7","Y","0","0","0","3","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"73","撒旦麥爾斯","特殊攻擊","390","特殊攻擊效果 390","390","530","9","","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"73","撒旦麥爾斯","特殊攻擊","391","特殊攻擊效果 391","391","400","9","","0","0","0","2","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"73","撒旦麥爾斯","治療／危急技能","1683","魔氣縱橫","198","0","7","","0","0","0","1","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"73","撒旦麥爾斯","治療／危急技能","1697","萬妖聚靈","357","0","7","","0","0","0","2","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"379","鬥戰聖佛分身","普通攻擊","","基本攻擊效果","122","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"39","王思月","普通攻擊","","基本攻擊效果","354","0","7","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"39","王思月","特殊攻擊","355","特殊攻擊效果 355","355","500","8","Y","0","0","0","6","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"39","王思月","特殊攻擊","355","特殊攻擊效果 355","355","500","8","Y","0","0","0","6","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"52","夜叉悟緣","普通攻擊","","基本攻擊效果","258","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"52","夜叉悟緣","特殊攻擊","336","特殊攻擊效果 336","336","430","9","","0","0","0","6","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"52","夜叉悟緣","特殊攻擊","337","特殊攻擊效果 337","337","400","7","","0","0","0","6","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"48","機關三魔獸","技能","1681","紅嵐滔光","182","350","1","Y","0","0","0","3","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"48","機關三魔獸","技能","1681","紅嵐滔光","182","350","1","Y","0","0","0","2","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"48","機關三魔獸","技能","1681","紅嵐滔光","182","350","1","Y","0","0","0","2","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"48","機關三魔獸","特殊攻擊","180","特殊攻擊效果 180","180","520","9","","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"48","機關三魔獸","特殊攻擊","180","特殊攻擊效果 180","180","520","9","","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"381","黃八","普通攻擊","","基本攻擊效果","313","0","7","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"381","黃八","技能","1","技能 1","","","","","","","","5","6","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"381","黃八","特殊攻擊","325","特殊攻擊效果 325","325","0","7","","32","8","0","3","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"381","黃八","特殊攻擊","325","特殊攻擊效果 325","325","0","7","","32","8","0","3","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"16","蜃樓王","普通攻擊","","基本攻擊效果","204","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"16","蜃樓王","技能","1685","雷霆光鏵","207","350","8","Y","0","0","0","6","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"16","蜃樓王","技能","1686","封靈滅法","208","0","10","","16","8","0","3","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"16","蜃樓王","技能","1686","封靈滅法","208","0","10","","16","8","0","2","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"16","蜃樓王","特殊攻擊","205","特殊攻擊效果 205","205","350","9","","0","0","0","4","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"16","蜃樓王","特殊攻擊","205","特殊攻擊效果 205","205","350","9","","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"16","蜃樓王","治療／危急技能","1578","神癒咒","14","0","0","","0","0","0","1","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"16","蜃樓王","治療／危急技能","1578","神癒咒","14","0","0","","0","0","0","1","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"12","恐懼之王","普通攻擊","","基本攻擊效果","159","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"12","恐懼之王","技能","1680","懾心靈震","161","300","7","Y","0","0","0","2","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"12","恐懼之王","技能","1680","懾心靈震","161","300","7","Y","0","0","0","2","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"12","恐懼之王","技能","1680","懾心靈震","161","300","7","Y","0","0","0","1","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"12","恐懼之王","特殊攻擊","1","特殊攻擊效果 1","1","0","9","","0","0","0","5","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"68","撒旦麥爾斯","普通攻擊","","基本攻擊效果","1","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"68","撒旦麥爾斯","技能","1688","魔氣貫頂","265","320","7","Y","0","0","0","2","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"68","撒旦麥爾斯","技能","1688","魔氣貫頂","265","320","7","Y","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"68","撒旦麥爾斯","特殊攻擊","262","特殊攻擊效果 262","262","430","9","","0","0","0","3","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"68","撒旦麥爾斯","特殊攻擊","263","特殊攻擊效果 263","263","300","9","","0","0","0","2","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"68","撒旦麥爾斯","治療／危急技能","1683","魔氣縱橫","198","0","7","","0","0","0","2","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"68","撒旦麥爾斯","治療／危急技能","1683","魔氣縱橫","198","0","7","","0","0","0","1","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"70","蜃樓王","普通攻擊","","基本攻擊效果","276","500","8","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"70","蜃樓王","技能","1685","雷霆光鏵","207","350","8","Y","0","0","0","5","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"70","蜃樓王","技能","1686","封靈滅法","208","0","10","","16","8","0","3","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"70","蜃樓王","技能","1686","封靈滅法","208","0","10","","16","8","0","1","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"70","蜃樓王","特殊攻擊","205","特殊攻擊效果 205","205","350","9","","0","0","0","3","3","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"70","蜃樓王","特殊攻擊","205","特殊攻擊效果 205","205","350","9","","0","0","0","2","3","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"70","蜃樓王","治療／危急技能","1578","神癒咒","14","0","0","","0","0","0","1","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"70","蜃樓王","治療／危急技能","1578","神癒咒","14","0","0","","0","0","0","1","依目前 HP 數值最少的存活敵人之 HP 百分比增加權重；不是最低 HP 百分比排序。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"178","神龍","普通攻擊","","基本攻擊效果","406","0","6","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"178","神龍","特殊攻擊","429","特殊攻擊效果 429","429","800","6","Y","0","0","0","8","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"178","神龍","特殊攻擊","296","特殊攻擊效果 296","296","0","10","","0","5","268435456","4","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"69","撒旦麥爾斯","普通攻擊","","基本攻擊效果","1","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"69","撒旦麥爾斯","技能","1","技能 1","","","","","","","","1","0","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"69","撒旦麥爾斯","特殊攻擊","2","特殊攻擊效果 2","2","0","9","","0","0","0","1","0","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"179","鳳凰","普通攻擊","","基本攻擊效果","400","0","1","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"179","鳳凰","技能","1706","千烈凰屏","401","700","1","Y","0","0","0","6","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"179","鳳凰","技能","1706","千烈凰屏","401","700","1","Y","0","0","0","6","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"71","木鐵人","普通攻擊","","基本攻擊效果","132","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"71","木鐵人","技能","1689","菩提羅漢","305","450","9","","0","0","0","4","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"71","木鐵人","技能","1689","菩提羅漢","305","450","9","","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"71","木鐵人","特殊攻擊","3","特殊攻擊效果 3","3","0","9","","0","0","0","8","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"383","蜃樓石頭妖","普通攻擊","","基本攻擊效果","1","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"383","蜃樓石頭妖","特殊攻擊","206","特殊攻擊效果 206","206","200","1","Y","0","0","0","3","3","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"383","蜃樓石頭妖","特殊攻擊","206","特殊攻擊效果 206","206","200","1","Y","0","0","0","2","3","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"18","鬼猴","普通攻擊","","基本攻擊效果","150","0","4","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"18","鬼猴","特殊攻擊","151","特殊攻擊效果 151","151","300","9","","0","0","0","4","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"18","鬼猴","特殊攻擊","151","特殊攻擊效果 151","151","300","9","","0","0","0","4","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"62","藍魔神本體","普通攻擊","","基本攻擊效果","3","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"62","藍魔神本體","技能","1673","晶石裂地","109","75","2","Y","0","0","0","4","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"62","藍魔神本體","技能","1672","凝冰術","110","100","2","","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"62","藍魔神本體","特殊攻擊","1","特殊攻擊效果 1","1","0","9","","0","0","0","5","4","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"213","龍王","普通攻擊","","基本攻擊效果","406","0","6","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"213","龍王","特殊攻擊","408","特殊攻擊效果 408","408","650","1","Y","0","0","0","12","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"213","龍王","特殊攻擊","296","特殊攻擊效果 296","296","0","10","","0","5","268435456","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"368","鬥戰聖佛","普通攻擊","","基本攻擊效果","122","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"368","鬥戰聖佛","技能","1705","神焰九轉","389","600","1","Y","0","0","0","8","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"368","鬥戰聖佛","技能","1705","神焰九轉","389","600","1","Y","0","0","0","8","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"377","死靈騎士","特殊攻擊","378","特殊攻擊效果 378","378","500","7","","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"377","死靈騎士","特殊攻擊","378","特殊攻擊效果 378","378","500","7","","0","0","0","5","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"2201","土匪","普通攻擊","","基本攻擊效果","189","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"2201","土匪","特殊攻擊","378","特殊攻擊效果 378","378","500","7","","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"2201","土匪","特殊攻擊","378","特殊攻擊效果 378","378","500","7","","0","0","0","5","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"403","死靈騎士","特殊攻擊","378","特殊攻擊效果 378","378","500","7","","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"403","死靈騎士","特殊攻擊","378","特殊攻擊效果 378","378","500","7","","0","0","0","5","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"382","人屍","特殊攻擊","422","特殊攻擊效果 422","422","1000","7","","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"382","人屍","特殊攻擊","422","特殊攻擊效果 422","422","1000","7","","0","0","0","3","5","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
"61","機關三魔獸","普通攻擊","","基本攻擊效果","1","0","9","","0","0","0","","動態：連續普通攻擊越多，權重越低，最低 2。","未定義；原版 AI 使用權重與剩餘使用次數，非每回合 CD。"
