"item_id","name","current_menu_sources","level","hp","atk","def","spd","wis","dodge_rate","basic_attack_effect_id","skill_ids","skill_counts","skill_rate","special_effect_ids","special_effect_counts","special_effect_rate","critical_skill_ids","critical_skill_counts","existing_living_card","story_or_special_flag","not_in_book","discard","raw_data_caution"
"70","蜃樓王","神魔異事錄|特殊／首領","50","4000","300","68","43","130","3","276","1685|1686|1686","5|3|1","4","205|205","3|2","3","1578|1578","1|1","","Y","","",""
"178","神龍","神魔異事錄","56","3800","580","140","62","160","5","406","","","0","429|296","8|4","5","","","Y","","","",""
"69","撒旦麥爾斯","特殊／首領","50","3600","380","113","45","200","3","1","1687","1","0","264","1","0","","","","Y","Y","",""
"179","鳳凰","神魔異事錄","58","3500","600","160","60","120","4","400","1706|1706","6|6","5","","","0","","","Y","","","",""
"71","木鐵人","神魔異事錄|特殊／首領","50","3500","360","133","58","0","4","132","1689|1689","4|3","5","303","8","4","","","","Y","","",""
"383","蜃樓石頭妖","特殊／首領","45","3500","350","150","40","40","2","1","","","0","206|206","3|2","3","","","","Y","Y","",""
"18","鬼猴","神魔異事錄|特殊／首領","35","3500","154","64","50","120","3","150","","","0","151|151","4|4","5","","","","Y","","",""
"62","藍魔神本體","神魔異事錄|特殊／首領","37","3500","130","62","48","120","4","3","1673|1672","4|3","5","108","5","4","","","","Y","","",""
"213","龍王","神魔異事錄","54","3200","580","160","68","160","4","406","","","0","408|296","12|3","5","","","Y","","","",""
"368","鬥戰聖佛","神魔異事錄","65","3000","630","160","66","170","4","122","1705|1705","8|8","5","","","0","","","Y","","","",""
"377","死靈騎士","神魔異事錄","50","3000","530","160","62","120","4","","","","0","378|378","3|5","5","","","Y","","","",""
"2201","土匪","特殊／首領","50","3000","530","160","62","120","4","189","","","0","378|378","3|5","5","","","Y","","Y","",""
"403","死靈騎士","神魔異事錄|特殊／首領","56","3000","530","160","62","120","4","","","","0","378|378","3|5","5","","","","Y","","",""
"382","人屍","神魔異事錄|特殊／首領","50","3000","522","158","60","180","3","","","","0","422|422","3|3","5","","","","Y","","",""
"61","機關三魔獸","神魔異事錄|特殊／首領","40","3000","290","60","58","10","4","1","","","0","203","6","4","","","","Y","","",""
"199","天將","神魔異事錄","51","2800","570","135","60","100","4","404","","","0","405|405","5|3","5","","","Y","","","",""
"214","黑龍","神魔異事錄","52","2800","550","150","64","140","3","406","","","0","407|296","8|3","5","","","Y","","","",""
"186","黑無常","神魔異事錄","49","2700","500","130","60","120","4","410","1708|0|1708","5|0|5","5","","","0","","","Y","","","",""
"255","尼凱","神魔異事錄","59","2600","600","180","64","180","4","40","1715|1715","3|3","4","431","5","5","","","Y","","","",""
"198","太白金星","神魔異事錄","54","2500","560","145","68","180","4","402","1707|0|1707","4|0|6","5","","","0","1578|1578","3|1","Y","","","",""
"47","蟹精魔機","神魔異事錄","50","2500","530","180","55","120","4","433","","","0","434|434","5|5","5","","","Y","","","",""
"67","康那里士","神魔異事錄|特殊／首領","42","2500","320","80","48","100","3","257","1684|1552","5|4","4","","","0","1683|1683","2|1","","Y","","",""
"384","蜃樓財寶怪","特殊／首領","40","2500","280","100","44","40","3","132","","","0","","","0","","","","Y","Y","",""
"194","白無常","神魔異事錄","53","2300","530","136","64","150","4","322","1691|1691","4|2","5","323","4","3","","","Y","","","",""
"180","格特輪","神魔異事錄|特殊／首領","40","2300","280","100","48","100","4","197","1684|1502|1684","4|5|2","6","","","0","1683|1683","2|1","","Y","","",""
"149","九天玄女","神魔異事錄","58","2200","500","96","65","180","4","399","1700|1698","8|5","6","","","0","1578|1578","2|1","Y","","","",""
"165","色烈芬","神魔異事錄","52","2000","580","122","60","180","4","","","","0","427|427","6|3","5","","","Y","","","",""
"172","阿普洛迪","神魔異事錄","52","2000","570","166","64","180","4","111","","","0","428|428","8|5","6","","","Y","","","",""
"13","藍魔神","神魔異事錄|特殊／首領","32","2000","120","60","46","120","4","3","1672","6","5","108","5","4","","","","Y","","",""
"223","石獅精","神魔異事錄","48","1800","530","160","58","100","4","133","1709|1709","4|3","4","","","0","","","Y","","","",""
"76","羯忍幻機","神魔異事錄","52","1800","500","162","58","100","3","122","","","0","397|398","5|8","5","","","","","","",""
"49","羯忍幻機","神魔異事錄","45","1800","500","162","58","100","3","122","","","0","397|398","5|8","5","","","Y","","","",""
"6","姆斯比爾","神魔異事錄|特殊／首領","40","1800","115","65","45","90","3","61","1666|1667","5|2","4","62","4","5","","","","Y","","",""
"158","娥皇","神魔異事錄","50","1700","503","108","60","160","4","153","1700|1686","5|3","5","","","0","","","Y","","","",""
"159","女英","神魔異事錄","46","1650","495","115","64","160","4","387","1701|1701","6|3","5","","","0","","","Y","","","",""
"148","七仙女","神魔異事錄","47","1600","490","100","62","180","4","349","1698|1698","3|3","5","","","0","","","Y","","","",""
"238","尼梅亞獅","神魔異事錄","44","1500","530","166","58","100","4","322","1709|1709","3|3","4","","","0","","","Y","","","",""
"150","嫦娥","神魔異事錄","49","1500","510","155","62","180","4","358","1548|1542|1548","6|4|3","5","","","0","","","Y","","","",""
"277","雪女","神魔異事錄","45","1500","446","105","63","130","4","122","1702|1702","4|3","5","","","0","","","Y","","","",""
"157","女夷22","神魔異事錄","43","1430","460","98","64","138","4","386","1699|1699","4|4","5","","","0","","","Y","","","",""
"156","女夷","神魔異事錄","43","1430","460","98","64","138","4","386","1699|1699","4|4","5","","","0","","","Y","","","",""
"281","天宮仙女","神魔異事錄","43","1350","458","120","66","100","3","358","1703|1703","3|3","5","","","0","","","Y","","","",""
"167","戰死屍鬼","神魔異事錄","43","1300","420","134","62","100","3","122","","","0","352|352","4|4","5","","","Y","","","",""
"254","肯塔羅斯","神魔異事錄","38","1200","480","122","52","120","4","40","1513|1513","3|3","5","","","0","","","Y","","","",""
"380","教眾長老","神魔異事錄","48","1200","380","148","58","180","3","313","1692","6","6","325|325","4|4","4","","","","","","",""
"60","冰魔薇達","神魔異事錄|特殊／首領","34","1200","130","70","45","78","4","111","1674","6","4","","","0","","","","Y","","",""
"7","康那里士","神魔異事錄|特殊／首領","35","1200","94","54","48","100","3","74","1668|1552","6|4","4","88","1","0","1574","2","","Y","","",""
"191","樂仙女","神魔異事錄","45","1160","430","112","63","130","4","349","1546|1546|1546","5|3|2","5","","","0","1577","2","Y","","","",""
"316","妖燈鬼","神魔異事錄","46","1080","460","96","60","150","5","350","","","0","351|296","8|3","4","","","Y","","","",""
"253","雪芙","神魔異事錄","39","1000","500","125","60","180","4","345","1695|0|1695","4|0|2","5","","","0","","","Y","","","",""
"226","獨角獸","神魔異事錄","44","1000","500","100","63","120","4","1","","","0","430|430","6|2","5","","","Y","","","",""
"50","影忍妖機","神魔異事錄|特殊／首領","35","1000","50","40","30","22","3","181","","","0","","","0","","","","Y","","",""
"155","蠶女","神魔異事錄","41","800","475","156","62","120","3","307","1694|1694","5|5","5","","","0","","","Y","","","",""
"3","薇達","特殊／首領","32","800","250","92","46","100","4","116","","","0","","","0","","","","Y","Y","",""
"267","冥府獄卒","神魔異事錄","45","700","390","106","54","120","3","3","","","0","321|320","5|4","5","","","Y","","","",""
"395","高地骷髏妖","神魔異事錄|特殊／首領","31","700","127","85","60","70","4","1","","","0","94","3","3","","","","Y","","",""
"152","瑪特女神","神魔異事錄","45","680","400","150","55","160","4","","","","0","425|426","5|7","5","","","Y","","","",""
"433","道士","特殊／首領","45","680","360","158","55","180","3","313","1692","5","6","325|325","3|3","4","","","","","Y","",""
"124","炎靈子","神魔異事錄","44","630","380","80","58","135","4","350","","","0","424|423","5|4","5","","","Y","","","",""
"273","瘟鬼","神魔異事錄","43","620","378","96","56","80","3","314","","","0","319|318","3|5","4","","","Y","","","",""
"57","機關和尚","神魔異事錄","44","620","310","155","54","80","4","132","1690|1690|1690","3|2|1","5","304","5","4","","","","","","",""
"154","上元夫人","神魔異事錄","42","600","360","110","50","130","4","260","","","3","261","4","3","1578|1578","2|2","Y","","","",""
"64","藍魔神","神魔異事錄|特殊／首領","49","600","130","62","43","120","4","246","1673|1672","3|2","4","108","3","3","","","","Y","","",""
"271","吊死鬼","神魔異事錄","41","580","355","100","54","80","3","313","","","0","317|317","4|4","4","","","Y","","","",""
"146","妖陀螺鬼","神魔異事錄","42","500","400","130","56","140","2","291","","","0","292","6","4","","","Y","","","",""
"40","悟緣","特殊／首領","45","500","350","250","58","33","0","307","","","0","","","0","","","","Y","Y","",""
"184","食屍鬼","神魔異事錄","39","500","344","103","56","80","3","313","","","0","316|316","4|3","4","","","Y","","","",""
"151","瓊霜","神魔異事錄","36","500","245","100","45","120","4","194","1682|1682","2|2","3","","","0","","","Y","","","",""
"10","慧彥","特殊／首領","38","500","230","130","51","180","0","188","","","0","","","0","","","","Y","Y","",""
"93","慧彥","特殊／首領","38","500","230","130","51","180","10","188","","","0","","","0","","","","Y","Y","",""
"63","姆斯比爾","神魔異事錄|特殊／首領","50","500","160","65","45","90","3","245","1666|1667","3|2","4","62","4","5","","","","Y","","",""
"173","阿拔東","神魔異事錄","42","480","300","88","50","150","3","254","1526|1526","2|1","4","","","0","1574|1574","1|1","Y","","","",""
"396","弒肉妖","神魔異事錄|特殊／首領","25","480","75","62","42","50","4","3","","","0","80","5","5","","","","Y","","",""
"269","冤魂","神魔異事錄","39","460","340","95","58","90","4","314","","","0","315|315","3|3","4","","","Y","","","",""
"145","魍魎","神魔異事錄","44","450","360","120","48","100","3","3","","","0","290|312","5|3","5","","","Y","","","",""
"144","竹妖","神魔異事錄","40","420","320","103","60","80","4","287","","","0","288|288","3|2","5","","","Y","","","",""
"274","夜叉","神魔異事錄","42","400","350","93","44","60","3","258","","","0","259","5","3","","","Y","","","",""
"272","餓死鬼","神魔異事錄","37","400","330","88","49","100","5","295","","","0","296|296","3|3","3","","","Y","","","",""
"389","奧斯曼","神魔異事錄|特殊／首領","30","400","160","85","47","100","4","","","","0","","","0","","","","Y","","",""
"222","枯屍鬼王","神魔異事錄","31","400","136","55","37","89","4","135","","","0","","","0","","","Y","","","",""
"181","庫塔","神魔異事錄","36","380","215","95","43","160","3","119","1678|1678|1678","1|1|1","4","","","0","1518|1518","1|1","Y","","","",""
"169","大鬣蜥","神魔異事錄","42","350","385","150","43","10","3","107","","","0","294","6","3","","","","","","",""
"168","鱷魚","神魔異事錄","38","350","235","110","38","70","3","107","","","0","201|201","3|2","3","","","","","","",""
"160","席娜","神魔異事錄","34","350","200","75","46","120","4","120","","","3","193|193","2|2","3","1574|1574","1|1","Y","","","",""
"174","阿高司","神魔異事錄","32","350","150","73","55","125","4","4","","","0","93","4","4","","","Y","","","",""
"147","水仙","神魔異事錄","39","330","310","90","48","100","3","253","1511|1511","2|2","4","","","0","","","Y","","","",""
"197","耆戈","神魔異事錄","38","320","205","100","48","120","4","122","","","0","192|192","3|2","3","","","Y","","","",""
"65","影忍妖機","神魔異事錄","35","300","216","100","50","22","4","181","","","0","","","0","","","","","","",""
"164","神燈巨人","神魔異事錄","30","300","170","88","37","160","3","119","1678","3","3","","","0","1518|1518","1|1","Y","","","",""
"221","枯屍鬼","神魔異事錄","27","300","127","50","35","60","3","4","","","0","","","0","","","Y","","","",""
"185","山鬼","神魔異事錄","35","250","280","120","46","80","4","3","","","0","252","5","3","","","Y","","","",""
"416","唐軍步卒","神魔異事錄","33","250","204","64","45","100","4","189","","","0","","","0","","","","","","",""
"411","黑衣大食兵","神魔異事錄","35","220","220","65","43","95","3","40","","","0","","","0","","","","","","",""
"412","白衣大食兵","神魔異事錄","32","220","200","60","45","95","3","40","","","0","","","0","","","","","","",""
"390","鬼爵","神魔異事錄","34","220","160","79","40","80","3","153","","","0","154","4","3","","","Y","","","",""
"161","亞坦","神魔異事錄","34","220","150","93","43","120","4","122","1506|1677","3|2","3","","","0","","","Y","","","",""
"129","阿加希歐","神魔異事錄","27","200","147","64","46","120","4","5","1662","5","3","","","0","","","Y","","","",""
"153","瓦雀","神魔異事錄","31","200","137","90","40","120","4","120","1676","3","3","","","0","1574","2","Y","","","",""
"393","沙漠綠蠍","神魔異事錄","25","200","120","68","38","40","4","35","","","0","130","3","0","","","","","","",""
"163","朱蛤獸","神魔異事錄","33","180","157","79","38","100","4","132","1670","4","3","","","0","","","Y","","","",""
"391","魚身人面妖","神魔異事錄","30","180","150","89","45","90","3","137","","","0","","","0","","","Y","","","",""
"175","炎顱","神魔異事錄","36","180","133","65","43","56","5","4","","","0","45","4","3","","","Y","","","",""
"104","虎","神魔異事錄","25","180","128","93","42","60","4","4","","","0","113","3","3","","","","","","",""
"139","瓶女","神魔異事錄","28","180","102","55","45","100","4","98","","","0","99","4","3","","","Y","","","",""
"177","火蠑螈","神魔異事錄","27","170","140","74","45","70","4","136","","","0","125","3","3","","","Y","","","",""
"119","鷹","神魔異事錄","25","170","140","73","42","48","4","76","","","0","","","0","","","","","","",""
"386","大棕熊","神魔異事錄","26","165","126","92","43","13","1","8","","","0","26","3","2","","","","","","",""
"392","閻惡靈","神魔異事錄","29","160","164","60","38","80","4","133","","","0","","","0","","","Y","","","",""
"162","蝠妖","神魔異事錄","28","160","140","70","42","80","4","138","1552","4","3","","","0","","","Y","","","",""
"103","獅","神魔異事錄","25","160","123","90","45","50","4","1","","","0","113","3","3","","","","","","",""
"141","牛頭魚","神魔異事錄","27","160","113","58","48","65","3","131","1669","3","4","","","0","","","Y","","","",""
"4","麥爾斯","特殊／首領","12","160","42","25","32","35","3","1","","","0","72|71","3|2","4","","","","Y","Y","",""
"143","溫蒂妮","神魔異事錄","27","155","110","60","45","110","4","100","1671","5","3","","","0","","","Y","","","",""
"394","地獄妖貓","神魔異事錄|特殊／首領","35","150","138","90","53","90","6","90","1670","2","2","152","3","4","","","","Y","","",""
"176","黑豹","神魔異事錄","24","150","122","86","47","60","5","8","","","0","114","3","3","","","","","","",""
"136","格萊艾","神魔異事錄","24","150","80","38","48","90","5","137","","","0","44","3","3","","","Y","","","",""
"387","銀背金剛","神魔異事錄","23","140","126","80","40","20","2","1","","","0","26","3","3","","","","","","",""
"189","食人花","神魔異事錄","28","140","125","88","43","20","4","117","","","0","","","0","","","Y","","","",""
"138","寒蛙","神魔異事錄","24","140","111","65","43","70","4","133","","","3","102","3","0","","","Y","","","",""
"385","響尾蛇","特殊／首領","23","135","115","64","48","20","3","4","","","0","10","3","3","","","","","Y","",""
"399","修道院院長","神魔異事錄|特殊／首領","20","135","53","48","30","50","0","6","","","2","30","4","3","1574","1","","Y","","",""
"137","凱貝羅斯","神魔異事錄","28","130","90","46","43","56","5","4","","","0","45","4","3","","","Y","","","",""
"117","狼","神魔異事錄","23","125","118","82","41","20","4","8","","","0","","","0","","","","","","",""
"133","亞格瑞斯","神魔異事錄","26","125","100","56","36","50","3","41","","","0","","","0","","","Y","","","",""
"166","藍人","神魔異事錄","26","120","110","72","40","52","3","97","1675","3","3","","","0","","","Y","","","",""
"130","獢","神魔異事錄","24","120","80","43","42","15","3","69","","","0","68","3","3","","","Y","","","",""
"134","半人馬","神魔異事錄","26","110","90","53","43","70","4","40","1665","3","3","","","0","","","Y","","","",""
"388","紅鬃猿","神魔異事錄","22","105","112","80","45","10","3","1","","","0","25","3","3","","","","","","",""
"142","雪球怪","神魔異事錄","22","100","116","89","40","80","5","107","1679","2","3","","","0","","","Y","","","",""
"125","吸血鬼王","神魔異事錄","26","100","87","40","43","50","3","27","1551","3","3","42","4","4","","","Y","","","",""
"135","美杜莎","神魔異事錄","24","100","80","57","45","50","5","135","","","0","43","4","3","","","Y","","","",""
"398","加賽因","神魔異事錄|特殊／首領","23","100","48","25","28","43","4","5","1662","5","3","","","0","","","","Y","","",""
"140","妖貓","神魔異事錄","23","90","93","42","53","90","6","90","1670","2","3","","","0","","","Y","","","",""
"317","迷魂霧妖","神魔異事錄","45","80","460","10","68","120","5","41","","","0","342|342","4|6","4","","","Y","","","",""
"410","威尼斯水軍","神魔異事錄","15","80","70","58","48","35","4","40","","","0","","","0","","","","","","",""
"123","北歐狼","神魔異事錄","18","60","77","45","38","35","4","40","","","0","","","0","","","","","","",""
"118","吸血殭屍","神魔異事錄","18","60","60","45","35","30","3","4","","","0","","","0","","","Y","","","",""
"208","水鬼","神魔異事錄","17","53","53","34","32","30","3","1","","","0","","","0","","","Y","","","",""
"128","石骨飛魚","神魔異事錄","20","50","58","43","40","18","3","134","","","0","","","0","","","Y","","","",""
"2","妮可","特殊／首領","3","50","57","38","30","45","5","7","","","0","","","0","","","","","Y","",""
"122","紅耳蝙蝠","神魔異事錄","15","45","57","48","43","40","4","8","","","0","78","3","3","","","","","","",""
"131","吸血鬼","神魔異事錄","22","43","52","32","33","30","3","27","","","0","31","5","3","","","Y","","","",""
"206","惡靈","神魔異事錄","21","40","56","30","38","24","4","1","","","0","","","0","","","Y","","","",""
"121","黑蜈蚣","神魔異事錄","16","40","52","43","36","15","4","1","","","0","33","3","3","","","","","","",""
"397","赤尾蠍子","神魔異事錄","17","40","50","43","28","14","4","35","","","0","","","0","","","","","","",""
"408","武僧","神魔異事錄","8","38","35","23","25","20","1","1","","","0","","","0","","","","","","",""
"120","蜈蚣","神魔異事錄","13","35","42","28","30","15","4","1","","","0","33","3","3","","","","","","",""
"108","熊","神魔異事錄","17","35","35","18","20","13","1","8","","","0","26","3","2","","","","","","",""
"126","邪靈","神魔異事錄","25","30","83","85","40","60","5","134","","","0","","","0","","","Y","","","",""
"127","石骨魚","神魔異事錄","16","30","45","30","26","18","3","1","","","0","","","0","","","Y","","","",""
"107","黑金剛","神魔異事錄","16","30","33","16","18","20","2","1","","","0","26","3","3","","","","","","",""
"409","梅羅文加軍人","神魔異事錄","7","28","34","23","32","20","2","5","","","0","","","0","","","","","","",""
"407","教士","神魔異事錄","6","24","30","20","29","30","1","6","","","0","13","3","3","","","","","","",""
"102","蛇","神魔異事錄","13","20","25","20","20","20","3","4","","","0","10","3","3","","","","","","",""
"116","水蛇","神魔異事錄","9","20","23","12","22","10","3","4","","","0","","","0","","","","","","",""
"106","野猴","神魔異事錄","12","20","21","15","22","10","3","1","","","0","25","3","3","","","","","","",""
"132","侏儒","神魔異事錄","15","18","31","25","23","25","1","34","","","0","18","5","3","","","Y","","","",""
"171","幽靈","神魔異事錄","13","18","30","12","30","15","4","133","","","0","","","0","","","Y","","","",""
"170","殭屍","神魔異事錄","14","16","24","18","16","10","3","1","","","0","","","0","","","Y","","","",""
"113","巨蛾","神魔異事錄","8","15","23","13","23","10","2","6","","","0","","","0","","","","","","",""
"111","毒蜘蛛","神魔異事錄","6","15","22","17","21","10","3","6","","","0","","","0","","","","","","",""
"110","毒蠍子","神魔異事錄","10","15","21","13","20","14","4","2","","","0","10","3","3","","","","","","",""
"105","度度鳥","神魔異事錄","14","15","20","13","21","12","2","4","","","0","24","3","3","","","","","","",""
"114","毒蟾蜍","神魔異事錄","10","15","19","13","16","15","3","1","","","0","10","3","5","","","","","","",""
"400","梅羅文加軍人","神魔異事錄","3","15","15","12","17","10","0","5","","","0","","","0","","","","","","",""
"115","巨蛙","神魔異事錄","5","12","19","14","24","10","1","1","","","0","","","0","","","","","","",""
"112","隱翅蟲","神魔異事錄","9","12","19","10","22","10","4","76","","","0","81","2","8","","","","","","",""
"109","吸血蝙蝠","神魔異事錄","8","10","20","15","20","10","3","76","","","0","9","3","3","","","","","","",""
"101","黏怪","神魔異事錄","12","6","19","18","16","10","2","1","","","10","23","3","3","","","Y","","","",""
