"party_slot","character_name","learned_at_level","skill_id","skill_name","consumption","consumes_mp","consumes_sp","attack_effect_id","attack_point","attribute_id","wide_range","affixation_effect","add_buff","info_text"
"4","李靖","35","1570","佛光衝宵","20","Y","","286","0","10","","0","0","效果：增加5回合50％暗系抗力 對象：我方單人"
"4","李靖","35","1568","火眼金睛","35","Y","","363","0","10","","0","0","觀看敵方資料"
"4","李靖","35","1583","八方歸元","100","Y","","444","0","0","Y","0","0","效果：解除瀕死狀態  對象：我方全體"
"4","李靖","35","1579","舒筋活脈","120","Y","","283","0","0","Y","0","0","效果：回復 體力 200點  對象：我方全體"
"4","李靖","35","1580","靈息","100","","Y","14","0","0","","0","0","效果：回復 靈力 100點並消耗 體力 100點"
"4","李靖","35","1593","祭柳歸靈","20","Y","","284","0","11","","0","0","治療封魔 狀態  對象：我方單人"
"4","李靖","35","1649","銀焰穿心槍","0","","","285","600","9","","0","0","效果：物理傷害  對象：敵方單人"
"4","李靖","36","1548","元體靈滅","50","Y","","334","500","6","","0","0","效果：光系中高等傷害  對象：敵方單人"
"4","李靖","38","1566","乘龍念法","1","Y","","251","0","10","","0","0","乘天外方界之龍，來往各地"
"4","李靖","41","1549","韋馱伏魔","80","Y","","393","1000","6","Y","0","0","效果：光系高等傷害  對象：敵方全體"
"4","李靖","43","1592","蝕岩還身","25","Y","","47","0","11","","0","0","治療石化 狀態  對象：我方單人"
"4","李靖","46","1587","道儀霞光","400","","Y","283","0","0","Y","0","0","效果：回復全體靈力 250點並消耗 體力 400點"
"4","李靖","48","1531","玄武現世","200","Y","","455","2000","4","Y","0","0","效果：土系超高等傷害  對象：敵方全體"
"4","李靖","51","1516","海神潮","250","Y","","456","2500","2","Y","0","0","效果：水系超高等傷害  對象：敵方全體"
"4","李靖","54","1589","殘燭引月","500","","Y","14","0","0","","0","0","效果：回復 靈力 400點並消耗 體力 500點"
"4","李靖","57","1550","無相如來","300","Y","","457","3000","6","Y","0","0","效果：光系超高等傷害  對象：敵方全體"
