"item_id","name","race_id","level","act","battle_data_complete","existing_living_card","story_or_special_flag","not_in_book","discard","race_catch","native_capture_at_player_level_cap","native_capture_reason","hp","atk","def","skills_present","special_effects_present","capture_card_status","note"
"57","機關和尚","13","44","57","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","620","310","155","1690|1690|1690","304","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"59","牛魔王","1","80","59","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","30000","800","444","1719|1718|1720","464|468","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"60","冰魔薇達","1","34","60","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","1200","130","70","1674","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"61","機關三魔獸","13","40","61","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","3000","290","60","","203","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"62","藍魔神本體","1","37","62","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","3500","130","62","1673|1672","108","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"63","姆斯比爾","12","50","6","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","500","160","65","1666|1667","62","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"64","藍魔神","12","49","13","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","600","130","62","1673|1672","108","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"65","影忍妖機","13","35","65","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","300","216","100","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"67","康那里士","23","42","67","Y","","Y","","","","否","原版拒絕 IT_06 劇情類目標。","2500","320","80","1684|1552","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"68","撒旦麥爾斯","23","50","68","Y","","Y","Y","","","否","原版拒絕 IT_06 劇情類目標。","4600","380","113","1688|1688","262|263","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"69","撒旦麥爾斯","23","50","69","Y","","Y","Y","","","否","原版拒絕 IT_06 劇情類目標。","3600","380","113","1687","264","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"70","蜃樓王","12","50","16","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","4000","300","68","1685|1686|1686","205|205","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"71","木鐵人","13","50","71","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","3500","360","133","1689|1689","303","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"72","康那里士","23","54","72","Y","","Y","","","","否","原版拒絕 IT_06 劇情類目標。","12500","540","80","1693|1684|1552","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"73","撒旦麥爾斯","23","55","73","Y","","Y","","","","否","原版拒絕 IT_06 劇情類目標。","8600","500","113","1688|1688","390|391","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"74","撒旦","1","70","74","Y","","Y","Y","","Y","否","原版拒絕 IT_06 劇情類目標。","30000","999","999","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"75","撒旦賽特","23","60","75","Y","","Y","","","","否","原版拒絕 IT_06 劇情類目標。","30000","750","166","1710|1710","413|414","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"76","羯忍幻機","13","52","76","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","1800","500","162","","397|398","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"93","慧彥","23","38","93","Y","","Y","Y","","","否","原版拒絕 IT_06 劇情類目標。","500","230","130","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"101","黏怪","9","12","101","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","6","19","18","","23","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"102","蛇","14","13","102","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","20","25","20","","10","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"103","獅","14","25","103","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","160","123","90","","113","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"104","虎","14","25","104","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","180","128","93","","113","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"105","度度鳥","14","14","105","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","15","20","13","","24","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"106","野猴","14","12","106","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","20","21","15","","25","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"107","黑金剛","14","16","107","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","30","33","16","","26","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"108","熊","14","17","108","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","35","35","18","","26","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"109","吸血蝙蝠","14","8","109","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","10","20","15","","9","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"110","毒蠍子","14","10","110","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","15","21","13","","10","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"111","毒蜘蛛","14","6","111","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","15","22","17","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"112","隱翅蟲","14","9","112","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","12","19","10","","81","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"113","巨蛾","14","8","113","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","15","23","13","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"114","毒蟾蜍","14","10","114","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","15","19","13","","10","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"115","巨蛙","14","5","115","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","12","19","14","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"116","水蛇","14","9","116","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","20","23","12","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"117","狼","14","23","117","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","125","118","82","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"118","吸血殭屍","3","18","118","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","60","60","45","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"119","鷹","14","25","119","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","170","140","73","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"120","蜈蚣","14","13","120","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","35","42","28","","33","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"121","黑蜈蚣","14","16","121","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","40","52","43","","33","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"122","紅耳蝙蝠","14","15","122","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","45","57","48","","78","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"123","北歐狼","14","18","123","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","60","77","45","","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"124","炎靈子","2","44","124","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","630","380","80","","424|423","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"125","吸血鬼王","3","26","125","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","100","87","40","1551","42","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"126","邪靈","7","25","126","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","30","83","85","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"127","石骨魚","5","16","127","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","30","45","30","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"128","石骨飛魚","5","20","128","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","50","58","43","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"129","阿加希歐","9","27","129","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","200","147","64","1662","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"130","獢","5","24","130","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","120","80","43","","68","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"131","吸血鬼","3","22","131","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","43","52","32","","31","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"132","侏儒","6","15","132","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","18","31","25","","18","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"133","亞格瑞斯","1","26","133","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","125","100","56","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"134","半人馬","8","26","134","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","110","90","53","1665","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"135","美杜莎","8","24","135","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","100","80","57","","43","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"136","格萊艾","9","24","136","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","150","80","38","","44","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"137","凱貝羅斯","5","28","137","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","130","90","46","","45","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"138","寒蛙","5","24","138","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","140","111","65","","102","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"139","瓶女","9","28","139","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","180","102","55","","99","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"140","妖貓","3","23","140","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","90","93","42","1670","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"141","牛頭魚","5","27","141","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","160","113","58","1669","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"142","雪球怪","9","22","142","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","100","116","89","1679","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"143","溫蒂妮","6","27","143","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","155","110","60","1671","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"144","竹妖","8","40","144","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","420","320","103","","288|288","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"145","魍魎","8","44","145","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","450","360","120","","290|312","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"146","妖陀螺鬼","9","42","146","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","500","400","130","","292","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"147","水仙","6","39","147","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","330","310","90","1511|1511","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"148","七仙女","2","47","148","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1600","490","100","1698|1698","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"149","九天玄女","0","58","149","Y","Y","","","","","否","原版種族沒有 catch=true。","2200","500","96","1700|1698","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"150","嫦娥","2","49","150","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1500","510","155","1548|1542|1548","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"151","瓊霜","6","36","151","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","500","245","100","1682|1682","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"152","瑪特女神","0","45","152","Y","Y","","","","","否","原版種族沒有 catch=true。","680","400","150","","425|426","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"153","瓦雀","0","31","153","Y","Y","","","","","否","原版種族沒有 catch=true。","200","137","90","1676","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"154","上元夫人","0","42","154","Y","Y","","","","","否","原版種族沒有 catch=true。","600","360","110","","261","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"155","蠶女","6","41","155","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","800","475","156","1694|1694","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"156","女夷","6","43","156","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1430","460","98","1699|1699","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"157","女夷22","10","43","157","Y","Y","","","","","否","原版種族沒有 catch=true。","1430","460","98","1699|1699","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"158","娥皇","0","50","158","Y","Y","","","","","否","原版種族沒有 catch=true。","1700","503","108","1700|1686","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"159","女英","0","46","159","Y","Y","","","","","否","原版種族沒有 catch=true。","1650","495","115","1701|1701","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"160","席娜","1","34","160","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","350","200","75","","193|193","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"161","亞坦","1","34","161","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","220","150","93","1506|1677","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"162","蝠妖","8","28","162","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","160","140","70","1552","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"163","朱蛤獸","5","33","163","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","180","157","79","1670","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"164","神燈巨人","9","30","164","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","300","170","88","1678","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"165","色烈芬","2","52","165","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","2000","580","122","","427|427","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"166","藍人","9","26","166","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","120","110","72","1675","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"167","戰死屍鬼","3","43","167","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","1300","420","134","","352|352","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"168","鱷魚","14","38","168","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","350","235","110","","201|201","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"169","大鬣蜥","14","42","169","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","350","385","150","","294","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"170","殭屍","3","14","170","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","16","24","18","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"171","幽靈","7","13","171","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","18","30","12","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"172","阿普洛迪","0","52","172","Y","Y","","","","","否","原版種族沒有 catch=true。","2000","570","166","","428|428","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"173","阿拔東","1","42","173","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","480","300","88","1526|1526","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"174","阿高司","4","32","174","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","350","150","73","","93","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"175","炎顱","5","36","175","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","180","133","65","","45","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"176","黑豹","14","24","176","Y","","","","","Y","否","原版拒絕非 IT_12 活物卡。","150","122","86","","114","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"177","火蠑螈","5","27","177","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","170","140","74","","125","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"178","神龍","4","56","178","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","3800","580","140","","429|296","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"179","鳳凰","4","58","179","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","3500","600","160","1706|1706","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"180","格特輪","1","40","180","Y","","Y","","","Y","否","原版拒絕 IT_06 劇情類目標。","2300","280","100","1684|1502|1684","","非活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"181","庫塔","9","36","181","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","380","215","95","1678|1678|1678","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"184","食屍鬼","8","39","184","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","500","344","103","","316|316","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"185","山鬼","7","35","185","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","250","280","120","","252","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"186","黑無常","1","49","186","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","2700","500","130","1708|0|1708","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
"189","食人花","8","28","189","Y","Y","","","","Y","條件式可行","需依等級差與 HP；目前玩家最高 Lv60。","140","125","88","","","現有活物卡","可作自由挑戰敵方資料；原版可否以煉妖壺收服仍須引擎實測。"
