"item_id","name","types","roles","discard","is_unique","Calculation","Consumption","Cons_MP","Cons_SP","Cons_Throw","Cons_Item","UsePlace","Price","ProficientPoint","ProficientHard","AddSpecial","SutraName","ResistanceSK","SkillExp","AddHP","AddMP","AddSP","AddSTR","AddStamina","AddWIS","AddSPD","AddFriend","AddDodge","AddATK","AddDEF","AttrFire","AttrIce","AttrWind","AttrEarth","AttrPoison","AttrLight","AttrDark","AttrThunder","AttrPhysical","AttackEffect","UseScript","ViewScript","function_flags"
"91","賽特幽靈版","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"93","慧彥","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10","-10","-10","-10","-10","-10","-10","-10","-10","188","","",
"94","賽特(駱駝)","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"95","賽特(小角色)","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"96","李靖","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"97","安卡","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"98","卡瑪","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"99","妮可","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"101","黏怪","IT_12","1|2|3|4","","","256","8","","Y","","","1","","","","","","","","5","","","1","","","","","","","","8","","","","","","","","","1","","",
"102","蛇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","4","","",
"103","獅","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",
"104","虎","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","",
"105","度度鳥","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","4","","",
"106","野猴","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",
"107","黑金剛","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",
"108","熊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","",
"109","吸血蝙蝠","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","-4","","","","","76","","",
"110","毒蠍子","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","",
"111","毒蜘蛛","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","-4","","","","","6","","",
"112","隱翅蟲","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","","",
"113","巨蛾","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","-4","","","","","6","","",
"114","毒蟾蜍","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",
"115","巨蛙","IT_10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","-4","","","","","1","","",
"116","水蛇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","-4","","","","","4","","",
"117","狼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","",
"118","吸血殭屍","IT_12","1|2|3|4","","","","16","","Y","","","1","","","","","","","","","","","","2","-3","","","","","","2","","","","-2","4","-2","","","4","","",
"119","鷹","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76","","",
"120","蜈蚣","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","-2","","","","","","1","","",
"121","黑蜈蚣","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","-2","","","","","","1","","",
"122","紅耳蝙蝠","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","-10","","","","","8","","",
"123","北歐狼","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","",
"124","炎靈子","IT_12","1|2|3|4","","","256","180","","Y","","","1","","","","","","","","30","","","","","","","","","5","3","-12","4","","","","","","","","350","","",
"125","吸血鬼王","IT_12","1|2|3|4","","","","27","","Y","","","1","","","","","","","","","","","3","1","","-2","","","","","2","","","","-10","4","-4","2","","27","","",
"126","邪靈","IT_12","1|2|3|4","","","256","20","","Y","","","1","","","","","","","","-5","10","","","","","","","","","","","","","","","4","-4","","","134","","",
"127","石骨魚","IT_12","1|2|3|4","","","","15","","Y","","","1","","","","","","","","","","","","2","","1","","","","","2","-2","","","","","","","","1","","",
"128","石骨飛魚","IT_12","1|2|3|4","","","","18","","Y","","","1","","","","","","","","","","","","3","","2","","","","","2","-2","","","","","","","","134","","",
"129","阿加希歐","IT_12","1|2|3|4","","","256","25","","Y","","","1","","","","","","","","","20","","","","3","","","","","","","2","","","","2","-2","-4","","5","","",
"130","獢","IT_12","1|2|3|4","","","","13","","Y","","","1","","","","","","","","","","","1","2","","1","","","","","","","","","","2","","","","69","","",
"131","吸血鬼","IT_12","1|2|3","","","","14","","Y","","","1","","","","","","","","","","","1","2","1","","","","","","","","","","","","","","","27","","",
"132","侏儒","IT_12","1|2|3|4","","","256","11","","Y","","","1","","","","","","","","3","5","2","2","","","","","","","","2","","","","","","","","","34","","",
"133","亞格瑞斯","IT_12","1|2|3|4","","","","28","","Y","","","1","","","","","","","","","","","5","2","","-3","","","","","-2","-2","-2","-6","","4","-2","-2","","41","","",
"134","半人馬","IT_12","1|2|3|4","","","256","30","","Y","","","1","","","","","","","","5","10","5","","","3","","","","","","","","","","-10","","","","","40","","",
"135","美杜莎","IT_12","1|2|3","","","256","28","","Y","","","1","","","","","","","","3","10","-5","","","","3","","","","","2","","","","-10","2","-2","","","135","","",
"136","格萊艾","IT_12","1|2|3|4","","","256","26","","Y","","","1","","","","","","","","-10","20","","","","3","","","","","","-2","-2","-2","-2","-2","-2","-2","-2","","137","","",
"137","凱貝羅斯","IT_12","1|2|3|4","","","","30","","Y","","","1","","","","","","","","","","","","1","1","3","","","","","-6","2","","","","4","-4","","","4","","",
"138","寒蛙","IT_12","1|2|3|4","","","","30","","Y","","","1","","","","","","","","","","","1","2","-5","2","","","","","4","-2","","","","","","","","133","","",
"139","瓶女","IT_12","1|2|3|4","","","256","35","","Y","","","1","","","","","","","","20","3","-15","","","","","","","","","2","-4","-2","2","","","","","","98","","",
"140","妖貓","IT_12","1|2|3","","","256","33","","Y","","","1","","","","","","","","","5","","","","","3","","","","-5","","","","","","","","","","90","","",
"141","牛頭魚","IT_12","1|2|3|4","","","","40","","Y","","","1","","","","","","","","","","","5","3","","-2","","","","","2","-6","","","","","","","","131","","",
"142","雪球怪","IT_12","1|2|3|4","","","256","32","","Y","","","1","","","","","","","","-5","","","2","-2","2","2","","","","","4","-10","","","","","","","","107","","",
"143","溫蒂妮","IT_12","1|2|3|4","","","","45","","Y","","","1","","","","","","","","","","","3","-2","5","","3","","","","2","-12","","","","","","","","100","","",
"144","竹妖","IT_12","1|2|3|4","","","256","120","","Y","","","1","","","","","","","","","","","","","20","3","","","","5","4","","","-8","","","","","","287","","",
"145","魍魎","IT_12","1|2|3|4","","","","145","","Y","","","1","","","","","","","","","","","","","","-2","","","5","1","","","","","-10","","","","","3","","",
"146","妖陀螺鬼","IT_12","1|2|3|4","","","256","160","","Y","","","1","","","","","","","","100","50","","","","","","","","3","","-2","-2","-2","-2","","-2","-2","-2","","291","","",
"147","水仙","IT_12","1|2|3|4","","","256","90","","Y","","","1","","","","","","","","50","30","40","","","","","","","","","6","-14","","","","-6","","","","253","","",
"148","七仙女","IT_12","1|2|3|4","","","","220","","Y","","","1","","","","","","","","","","","","","","2","","","-5","12","","","","","","-8","2","","","349","","",
"149","九天玄女","IT_12","1|2|3|4","","","","280","","Y","","","1","","","","","","","","","","","","","5","3","","","10","10","","","","","","-12","4","","","399","","",
"150","嫦娥","IT_12","1|2|3|4","","","","260","","Y","","","1","","","","","","","","50","50","50","","","","4","","","2","2","","","-6","4","","-2","2","","","358","","",
"151","瓊霜","IT_12","1|2|3|4","","","256","100","","Y","","","1","","","","","","","","","","","5","10","3","","","","","","2","-12","","","","","","","","194","","",
"152","瑪特女神","IT_12","1|2|3|4","","","256","185","","Y","","","1","","","","","","","","","","","","","10","4","","","","5","","","","-2","-6","-12","","","","","","",
"153","瓦雀","IT_12","1|2|3|4","","","256","50","","Y","","","1","","","","","","","","","10","","","","5","","","","","","-2","-2","-2","-2","-2","-10","2","-2","","120","","",
"154","上元夫人","IT_12","1|2|3|4","","","","90","","Y","","","1","","","","","","","","","","","-5","10","12","","","","","","","","","","","-10","2","","","260","","",
"155","蠶女","IT_12","1|2|3|4","","","256","175","","Y","","","1","","","","","","","","","45","","","","4","","","","","5","","","","","","","","","","307","","",
"156","女夷","IT_12","1|2|3|4","","","256","180","","Y","","","1","","","","","","","","","70","25","","","","","","","","2","","","-6","2","","-2","2","","","386","","",
"157","女夷22","IT_12","1|2|3|4","","","256","180","","Y","","","1","","","","","","","","","70","25","","","","","","","","2","","","-6","2","","-2","2","","","386","","",
"158","娥皇","IT_12","1|2|3|4","","","","240","","Y","","","1","","","","","","","","","","","","","","2","","","8","-3","-6","4","","","","-4","2","","","153","","",
"159","女英","IT_12","1|2|3|4","","","","190","","Y","","","1","","","","","","","","","","","","","","1","","","-3","8","4","-4","","","","-4","2","","","387","","",
"160","席娜","IT_12","1|2|3|4","","","256","70","","Y","","","1","","","","","","","","20","","40","","","3","","","","","","-2","-2","-2","-2","-2","4","-8","","","120","","",
"161","亞坦","IT_12","1|2|3|4","","","256","52","","Y","","","1","","","","","","","","-10","","","4","","10","","","","","","-4","2","","","","","","-2","","122","","",
"162","蝠妖","IT_12","1|2|3|4","","","256","38","","Y","","","1","","","","","","","","","-10","","","4","","","5","","","","","","","","","","-2","","","138","","",
"163","朱蛤獸","IT_12","1|2|3|4","","","256","45","","Y","","","1","","","","","","","","","","15","-3","6","","","","","","","-12","4","","","","","","","","132","","",
"164","神燈巨人","IT_12","1|2|3|4","","","256","60","","Y","","","1","","","","","","","","-15","-15","-15","3","3","3","-3","3","","","","-2","-2","-12","4","-10","-2","-2","2","-6","119","","",
"165","色烈芬","IT_12","1|2|3|4","","","256","215","","Y","","","1","","","","","","","","60","60","60","","","","1","","","1","1","-2","","","","","-10","","","","","","",
"166","藍人","IT_12","1|2|3|4","","","256","35","","Y","","","1","","","","","","","","","","","","2","15","","3","","","","4","-14","","","","","","","","97","","",
"167","戰死屍鬼","IT_12","1|2|3|4","","","","188","","Y","","","1","","","","","","","","","","","","","","-2","","","8","3","4","","","-4","-4","2","-4","","","122","","",
"168","鱷魚","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","","",
"169","大鬣蜥","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107","","",
"170","殭屍","IT_12","1|2|3|4","","","256","10","","Y","","","1","","","","","","","","2","","3","","","","-2","","","","","4","","","","-4","6","","","","1","","",
"171","幽靈","IT_12","1|2|3|4","","","256","11","","Y","","","1","","","","","","","","","10","","","","","2","","","","","2","","","","-6","8","","","-2","133","","",
"172","阿普洛迪","IT_12","1|2|3|4","","","256","260","","Y","","","1","","","","","","","","","80","","","","10","3","","","","","","","","","","","","","","111","","",
"173","阿拔東","IT_12","1|2|3|4","","","256","105","","Y","","","1","","","","","","","","","","45","","","15","","","","","6","-2","-2","-2","-2","-4","4","-10","-2","","254","","",
"174","阿高司","IT_12","1|2|3|4","","","256","75","","Y","","","1","","","","","","","","20","","15","10","","","","","","","","","","","","","","","","","4","","",
"175","炎顱","IT_12","1|2|3|4","","","","45","","Y","","","1","","","","","","","","","","","3","5","-5","","","","","","-6","","","","","4","-4","","","4","","",
"176","黑豹","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","",
"177","火蠑螈","IT_12","1|2|3|4","","","256","32","","Y","","","1","","","","","","","","15","-5","5","","","","","","","","","-2","","","","-10","","","","","136","","",
"178","神龍","IT_12","1|2|3|4","","","","320","","Y","","","1","","","","","","","","","","","","","","6","","","8","8","-4","-4","-4","","-10","-4","4","-4","","406","","",
"179","鳳凰","IT_12","1|2|3|4","","","256","350","","Y","","","1","","","","","","","","300","100","","","","","","","","8","","-20","4","","","","-6","2","","","400","","",
"180","格特輪","IT_06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2","-2","-2","-2","-6","-2","-2","4","-2","197","","",
"181","庫塔","IT_12","1|2|3|4","","","256","75","","Y","","","1","","","","","","","","","","","5","5","5","-5","","","","","-4","-4","-4","4","-4","-2","-2","4","-2","119","","",
"182","英招","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"183","鳳后","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"184","食屍鬼","IT_12","1|2|3|4","","","256","120","","Y","","","1","","","","","","","","-50","","","","","","3","","","4","","2","","","","","4","","","","313","","",
"185","山鬼","IT_12","1|2|3|4","","","","70","","Y","","","1","","","","","","","","","","","","","","-3","","","6","2","","","2","-4","-10","4","","","","3","","",
"186","黑無常","IT_12","1|2|3|4","","","256","240","","Y","","","1","","","","","","","","-60","","","","","","2","","","7","6","","","","-4","-10","2","-6","","","410","","",
"187","女丑","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"188","女尸","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"189","食人花","IT_12","1|2|3|4","","","","28","","Y","","","1","","","","","","","","","","","","","","-3","","","1","5","2","2","","-2","-10","","","","-2","117","","",
"190","妖骨蟲","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"191","樂仙女","IT_12","1|2|3|4","","","256","200","","Y","","","1","","","","","","","","300","100","-80","","","","","","","","","","","","","-10","-8","2","","","349","","",
"192","蛟龍女","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"193","狐狸精","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"194","白無常","IT_12","1|2|3|4","","","256","250","","Y","","","1","","","","","","","","-20","80","","","","","3","","","","2","","","-4","","-10","","","2","-6","322","","",
"195","盤古","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"196","女媧","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"197","耆戈","IT_12","1|2|3|4","","","256","88","","Y","","","1","","","","","","","","60","30","50","","","","","","","","","-4","2","","","","","","-2","","122","","",
"198","太白金星","IT_12","1|2|3|4","","","256","300","","Y","","","1","","","","","","","","","","","","","20","1","","","15","-6","-2","-2","-2","-2","","-10","2","-2","","402","","",
"199","天將","IT_12","1|2|3|4","","","","270","","Y","","","1","","","","","","","","","-50","","","","","","","","8","3","","","","","-10","-8","-4","","","404","","",
"200","天仙","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"201","尸解仙","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"202","風伯","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"203","雨師","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"204","當扈","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"205","金烏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"206","惡靈","IT_12","1|2|3|4","","","256","15","","Y","","","1","","","","","","","","","-5","3","","2","","","","","","","2","","","","","4","-2","","-2","1","","",
"207","雲生獸","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"208","水鬼","IT_12","1|2|3|4","","","256","14","","Y","","","1","","","","","","","","","","10","1","","","1","2","","","","4","-4","","","","2","-2","","","1","","",
"209","窮奇","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"210","鴆","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"211","飛賊","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"212","應龍","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"213","龍王","IT_12","1|2|3|4","","","","310","","Y","","","1","","","","","","","","10","-2","2","","","","","","","","","-16","4","","","","-4","2","","","406","","",
"214","黑龍","IT_12","1|2|3|4","","","","290","","Y","","","1","","","","","","","","","","","","","","5","","1","7","7","6","-16","","","","-4","2","","","406","","",
